"keys","cs"
,
"msg_list_dir_failed","Nepodařilo se vypsat složku %s. Chybová hláška: %s."
"msg_cannot_create_target_dir","Nepodařilo se vytvořit cílovou složku %s. Chybová hláška: %s."
"msg_copy_file_failed","Nepodařilo se zkopírovat soubor \""%s\"". Chybová hláška: %s."
"msg_copy_file_failed_details","[u]Zdrojová cesta:[/u] %s, [u]cílová cesta:[/u] %s."
"msg_remove_file_failed","Nepodařilo se odstranit soubor \""%s\"". Chybová hláška: %s."
"msg_remove_file_failed_details","[u]Celá cesta:[/u] %s."
"msg_rm_dir_failed","Nepodařilo se odstranit složku directory %s. Chybová hláška: %s."
"msg_create_dir_failed","Nepodařilo se vytvořit cílovou složku %s. Chybová hláška: %s."
"msg_move_file_failed","Nepodařilo se přesunout soubor \""%s\"". Chybová hláška: %s."
"msg_move_file_failed_details","[u]Zdrojová cesta:[/u] %s, [u]cílová cesta:[/u] %s."
"msg_move_rmdir_failed","Nepodařilo se odstranit zdrojovou složku %s. Chybová hláška: %s."
"msg_extract_unsupported","Nepodporovaná platforma nebo formát archívu (soubor: %s)"
"msg_extracting_file","Extrahuji %s..."
"msg_extract_error","Příkaz na extrakci archívu skončil s chybou (chybová hláška: %s)"
"msg_extract_failed_cmd","Příkaz selhal: %s"
"msg_extract_fail_output","Výstup: %s"
