"keys","cs"
,
"msg_game_option_not_found_get","Pokus o získání herního nastavení \""%s\"" selhal - nebyl nalezen."
"msg_game_option_not_found_set","Pokus o nastavení herního nastavení \""%s\"" selhal - nebyl nalezen."
"msg_failed_to_open_font_info","Nepodařilo se otevřít přiložené informace o fontu."
"msg_could_not_parse_font_info","Nepodařilo se zparsovat přiložené informace o fontu."
"msg_font_info_error_details","Chybová hláška: %s. Chybová řádka: %s. Chybová zpráva: %s"
"msg_could_not_parse_font_config","Nepodařilo se zparsovat soubor s nastavením fontu %s."
"msg_font_config_error_details","Chybová hláška: %s. Chybová řádka: %s. Chybová zpráva: %s"
"msg_failed_to_open_font_config","Nepodařilo se otevřít soubor s nastavením fontu %s (chybová hláška: %s)."
"msg_font_config_not_found","Soubor s nastavením fontu %s nebyl nalezen!"
"msg_could_not_parse_game_options","Nepodařilo se zparsovat soubor s nastavením hry %s."
"msg_game_options_error_details","Chybová hláška: %s. Chybová řádka: %s. Chybová zpráva: %s"
"msg_could_not_open_game_options","Nepodařilo se otevřít soubor s nastavením hry %s (chybová hláška: %s)."
"msg_game_options_not_found","Soubor s nastavením hry %s nebyl nalezen!"
"msg_font_config_not_writable","Nepodařilo se otevřít soubor s nastavením fontu %s pro psaní."
"msg_game_options_saved","Herní nastavení uloženo do [i]options.json[/i]."
"msg_game_options_not_writable","Nepodařilo se otevřít soubor s nastavením hry %s pro psaní."
"msg_could_not_install_font","Nepodařilo se nainstalovat soubor s fontem %s (chybová hláška: %s)."
"msg_font_install_details","Zdroj fontu: %s. Cíl: %s."
"msg_invalid_font_index_passed","set_font dostal neplatný index fontu %s."
"msg_font_config_field_missing","Nastavení fontu chybí pole \""%s\""."
