"keys","cs"
,
"lbl_avail_fonts","Dostupné:"
"lbl_font_preview","Ukázka:"
"cbtn_preview_cyrillics","Zobrazit znaky azbuky"
"lbl_other_settings","Další nastavení"
"lbl_font_sz_ui","Velikost fontu UI:"
"lbl_font_sz_map","Velikost fontu mapy:"
"lbl_font_sz_overmap","Velikost fontu overmapy:"
"cbtn_font_blending","Míchání fontů:"
"btn_save_font","Uložit"
"btn_set_font_ui","Použít pro herní UI"
"btn_set_font_map","Použít pro mapu"
"btn_set_font_omap","Použít pro overmapu"
"btn_set_font_all","Použít pro všechno"
"btn_reset_font","Resetovat všechny fonty"
,
"tooltip_preview_cyrillics","Zobrazit větu v azbuce."
"tooltip_font_sz_ui","Velikost fontu pro menu/dialogy/atd.\nŠířka a výška fontu bude nastavena automaticky."
"tooltip_font_sz_map","Velikost fontu pro herní svět (pokud nepoužíváte verzi tiles).\nŠířka a výška fontu bude nastavena automaticky."
"tooltip_font_sz_overmap","Velikost fontu pro zobrazení světové mapy a.k.a overmapy.\nŠířka a výška fontu bude nastavena automaticky."
"tooltip_font_blending","Hladší vykreslování fontů."
"tooltip_save_font","Klikněte pro uložení těchto nastavení do options.json.\n Jsou také automaticky uloženy při změně fontu."
"tooltip_set_font_ui","Použít vybrané fonty pro menu/dialogy/atd."
"tooltip_set_font_map","Použít vybrané fonty pro herní svět\n(pokud nepoužíváte verzi tiles)."
"tooltip_set_font_omap","Použít vybrané fonty pro zobrazení světové mapy a.k.a overmapy."
"tooltip_set_font_all","Použít vybrané fonty pro vše."
"tooltip_reset_font","Vrátit výchozí fonty (Terminus => Unifont)."
,
"str_curr_font_config","Současné fonty + záložní:"
"str_curr_font_config_ui","UI"
"str_curr_font_config_map","Mapa"
"str_curr_font_config_omap","Overmapa"
,
"msg_no_font_config_file","Nelze měnit fonty: soubor s nastavením fontů neexistuje. Ujistěte se, že jsem alespoň jednou zapnuli hry aby se vytvořil."
"msg_setting_ui_font","Nastavuji [i]%s[/i] jako font pro herní UI."
"msg_setting_map_font","Nastavuji [i]%s[/i] jako font pro mapu."
"msg_setting_omap_font","Nastavuji [i]%s[/i] jako font pro overmapu."
