"keys","cs"
,
"lbl_channel","Kanál aktualizací:"
"rbtn_stable","Stabilní"
"rbtn_experimental","Experimentální"
"lbl_changelog","[right][color=#3b93f7][url]Zobrazit změny v experimentální verzi[/url][/color][/right]"
"lbl_builds","Dostupné vydání:"
"btn_refresh","Obnovit"
"btn_install","Instalovat vybraný"
"btn_update","Aktualizovat na vybraný"
"cb_update_active","Aktualizovat aktuální aktivní instalaci"
"lbl_active_install","Aktivní instalace:"
"btn_play","Hrát"
"btn_resume","Pokračovat v posledním světě"
"lbl_installs","Instalované verze:"
"lbl_currently_installed","Aktuálně nainstalováno:"
"lbl_none","Nic"
"btn_activate","Aktivovat"
"btn_delete","Smazat"
,
"tooltip_game","Vyberte jakou hru spravovat nebo hrát."
"tooltip_changelog","Klikněte pro načtení shrnutí a posledních změn z GitHub."
"tooltip_stable","Stabilní kanál aktualizací (pouze DDA)."
"tooltip_experimental","Experimentální kanál aktualizací."
"tooltip_builds","Vybrat jaké vydání hry nainstalovat nebo na jaké aktualizovat."
"tooltip_refresh","Znovu získat seznam dostupných herních vydání\nz GitHubu (pouze pro experimentální vydání)."
"tooltip_install","Nainstalovat vybrané vydání hry (DDA a BN\njsou spravovány zvlášť a mohou koexistovat)."
"tooltip_update","Je-li zaškrtnuto, instalace hry aktuálně nastavená jako aktivní\nbude nahrazena verzí vybranou výše.\nV opačném případě bude vybraná sestava nová,\nsamostatná instalace hry."
"tooltip_game_dir","Otevřít složku s nainstalovanou hrou (obsahuje\nherní soubory a vestavěný herní obsah)."
"tooltip_user_dir","Otevřít složku s daty uživatele (obsahuje uložené hry, \nherní nastavení, mody, zvuk, atd.)"
"tooltip_play","Spustit hru."
"tooltip_resume","Přeskočit hlavní menu a rychle načte poslední hraný svět.\n(První postava bude vždy načtena pokud je jich tam více.)"
"tooltip_activate","Nastavit vybranou instalaci hry jako aktivní (tj. používanou).\n""Aktivní"" instalace je ta, která se spustí\nkdyž kliknete na Hrát/Pokračovat, nebo se aktualizuje, když\nkliknete na Instalovat."
"tooltip_delete","Smazat vybranou kopii hry.\n(Uložení, nastavení a další uživatelská data\njsou uložena samostatně a nebudou ztracena.)"
"tooltip_installs_item","Umístění:\n%s\n(složku otevřete dvojitým kliknutím)"
,
"msg_set_active","Nastavuji aktivní instalaci na %s."
