"keys","cs"
,
"window_title","Catapult — spouštěč pro Cataclysm: DDA a BN"
"str_welcome","Vítejte v Catapultu!"
"str_tip_of_the_day","\n\n[u]Tip dne:[/u]\n"
"msg_unpacking_unzip","Rozbaluji unzip.exe..."
"debug_test","Toto je debug text pro testování získání překladu."
,
"tag_warning","varování"
"tag_error","chyba"
"tag_debug","debug"
,
"lbl_game","Hra:"
"desc_dda","[b]Cataclysm: Dark Days Ahead[/b] je tahově založená hra o přežití zasazená v postapokalyptickém světě. Scavenge, prozkoumávejte, vyrábějte, stavte, farmařte, opravujte a upravujte vozidla, instalujte bionika, mutujte, braňte se proti [color=#009900]zombíkům[/color] a spoustě dalších monstrozit — vše v neomezeném, procedurálně generovaném světě!"
"desc_bn","[b]Cataclysm: Bright Nights[/b]. Odmítněte puntičkářství, přijměte [color=#ff3300]!!zábavu!![/color]. Tato odnož bere hru zpět do jejích sci-fi roguelike kořenů a vrací zpět spoustu kontroverzních změn od týmu DDA (kapsy, dovednosti, mražení, a [color=#3b93f7][url=https://github.com/cataclysmbnteam/Cataclysm-BN/wiki/Changes-so-far]více[/url][/color]). Zvláštní pozornost je dávána boji, balancování a tempu hry."
,
"tab_game","Hra"
"tab_mods","Mody"
"tab_soundpacks","Zvukové balíčky"
"tab_fonts","Fonty"
"tab_backups","Zálohy"
"tab_settings","Nastavení"
