"keys","cs"
,
"msg_mod_json_parsing_failed","Nepodařilo se zparsovat %s"
"msg_mod_deleted","Smazán %s"
"msg_mod_not_found","Nepodařilo se najít mod s ID \""%s\"""
"msg_deleting_n_mods","Mažu %s modů..."
"msg_obsolete_mod_collision","Už existuje zastaralý mod s ID %s. [i]%s[/i] bude nainstalován s upraveným ID a jménem kvůli konfliktu."
"msg_mod_installed","Nainstalován %s"
"msg_installing_n_mods","Instaluji %s modů..."
"msg_getting_kenan_pack","Získávám Kenanův balíček modů pro %s..."
"msg_wiping_mod_repo","Mažu repozitář..."
"msg_unpacking_kenan_mods","Přidávám mody z balíčku do repozitáře..."
"msg_unpacking_archived_mods","Přidávám archivované mody do repozitáře..."
"msg_kenan_install_cleanup","Čistím..."
"msg_kenan_install_done","Vše dokončeno."
