"keys","cs"
,
"lbl_installed_mods","Nainstalováno%s:"
"str_installed_mods_hidden"," (%s skrytých)"
"lbl_mod_repo","Lokální repozitář%s:"
"str_mod_repo_hidden"," (%s skrytých)"
"cbtn_stock_mods","Ukázat výchozí"
"btn_delete_mods","Smazat Vybrané"
"cbtn_installed_mods","Ukázat už nainstalované"
"btn_add_sel_mods","Přidat Vybrané"
"btn_add_all_mods","Přidat Všechny"
"btn_get_kenan_pack","Získat Kenanův Modpack"
"lbl_mod_info","Vyberte mod v jednou ze dvou seznamů a detaily se zobrazí zde."
"str_mod_name","Název:"
"str_mod_authors","Autoři:"
"str_mod_maintainers","Udržovatelé:"
"str_mod_category","Kategorie:"
"str_mod_description","Popis:"
,
"tooltip_mod_location","Lokace: %s"
"tooltip_stock_mods","Ukázat mody z data/mods na tomto seznamu."
"tooltip_installed_mods","Ukázat již nainstalované mody na tomto seznamu\nkdyby jste je chtěli znovu nainstalovat."
"tooltip_delete_mods","Odstranit vybrané mody ze hry."
"tooltip_add_sel_mods","Přidat vybrané mody do hry."
"tooltip_add_all_mods","Přidat všechny mody do hry."
"tooltip_get_kenan_pack","Stáhnout Kenanův Modpack a přidat jeho mody\ndo lokálního repozitáře."
,
"msg_one_mod_is_stock","Jeden z vybraných modů už je výchozí a nelze ho smazat."
"msg_n_mods_are_stock","%s z vybraných modů jsou výchozí a nelze je smazat."
"dlg_deleting_n_mods_title","Potvrdit Smazání"
"dlg_deleting_n_mods_text","Mažu %s modů."
"msg_mod_install_one_mod_skipped","Tento mod už je zahrnut ve hře, takže nebude nainstalován."
"msg_mod_install_n_mods_skipped","%s modů už jsou zahrnuty ve hře, takže nebudou nainstalovány."
