"keys","cs"
,
"lbl_launcher_language","Jazyk Catapultu"
"cbtn_show_game_desc","Ukázat popis hry"
"cbtn_print_tips","Ukázat tipy dne po spuštění"
"cbtn_updating_to_same_build","Dovolit ""aktualizovat"" na stejnou verzi která je nainstalovaná"
"cbtn_shorten_release_names","Zkrátit názvy experimentálních vydání"
"cbtn_show_obsolete_mods","Zobrazit zastaralé mody jakožto nainstalované"
"cbtn_install_archived_mods","Zahrnout archivované mody při instalaci Kenanova modpacku"
"cbtn_debug_mode","Debugovací režim"
"lbl_num_releases_to_request","Počet vydaní co si vyžádat:"
"lbl_num_prs_to_request","Počet výsledků na stažení pro seznam změn:"
"lbl_ui_scale_override","Vlastní UI škálování:"
"cbtn_enable_scale","Zapnout  "
,
"tooltip_show_game_desc","Ukázat popis pro vybranou hru v seznamu her."
"tooltip_print_tips","Zobrazit náhodný tip ve status okně po spuštění Catapultu."
"tooltip_updating_to_same_build","Dovoluje spustit aktualizovací proceduru i když vybrané\nvydání je stejné jako současně nainstalované."
"tooltip_shorten_release_names","Zkrátit názvy vydání jen na datum a číslo\n(e.g. ""2021-09-08-1927""místo\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_show_obsolete_mods","Zobrazit mody které jsou soutčástí hry jako ""zastaralé"".\nNormálně jsou takové mody považovány za nainstalované."
"tooltip_install_archived_mods","Při instalaci Kenanova Modpacku zahrnout i *archivované* mody.\nTyto mody již nejsou upravované Kenanem a můžou být zastaralé."
"tooltip_debug_mode","Ukáže Debug panel s některými testovacími funkcemi\na zapne debugové zprávy ve statusovém podokně (užitečné při hledání chyb))."
"tooltip_num_releases_to_request","Kolik posledních vydání bude vyžadováno\nz GitHubu po spuštění Catapultu,\nvybráním hry a nebo kliknutím na Obnovit."
"tooltip_num_prs_to_request","Kolik nedávných pull requestů (přídavků kódu)\nbude vyžadováno z GitHubu na vytvoření seznamu změn.\nVysoká čísla můžou vést k pomalým odpovědím a selháním."
"tooltip_ui_scale_override","Použijte tohle pokud automaticky získaná škála UI je příliš velká too large\nnebo příliš malá na vašem systému. (Automatické škálování se spoléhá na\nDPI displeje hlášené systémem, což nemusí fungovat na všech systémech,\nnebo poskytuje neadekvátní výsledky pokud je rozlišení příliš malé.)"
