"keys","en"
,
"msg_list_dir_failed","Failed to list directory %s. Error code: %s."
"msg_cannot_create_target_dir","Could not create target directory %s. Error code: %s."
"msg_copy_file_failed","Failed to copy file \""%s\"". Error code: %s."
"msg_copy_file_failed_details","[u]Source path:[/u] %s, [u]destination path:[/u] %s."
"msg_remove_file_failed","Failed to remove file \""%s\"". Error code: %s."
"msg_remove_file_failed_details","[u]Full path:[/u] %s."
"msg_rm_dir_failed","Failed to remove directory %s. Error code: %s."
"msg_create_dir_failed","Could not create target directory %s. Error code: %s."
"msg_move_file_failed","Failed to move file \""%s\"". Error code: %s."
"msg_move_file_failed_details","[u]Source path:[/u] %s, [u]destination path:[/u] %s."
"msg_move_rmdir_failed","Could not remove source directory %s. Error code: %s."
"msg_extract_unsupported","Unsupported platform or archive format (file: %s)"
"msg_extracting_file","Extracting %s..."
"msg_extract_error","Archive extraction command exited with an error (exit code: %s)"
"msg_extract_failed_cmd","Failed command: %s"
"msg_extract_fail_output","Output: %s"
"msg_zipping_file","Zipping %s..."
"msg_zip_error","Archive zip command exited with an error (exit code: %s)"
