"keys","en"
,
"lbl_avail_fonts","Available:"
"lbl_font_preview","Preview:"
"cbtn_preview_cyrillics","Preview Cyrillic characters"
"lbl_other_settings","Other settings"
"lbl_font_sz_ui","UI font size:"
"lbl_font_sz_map","Map font size:"
"lbl_font_sz_overmap","Overmap font size:"
"cbtn_font_blending","Font blending:"
"btn_save_font","Save"
"btn_set_font_ui","Set for Game UI"
"btn_set_font_map","Set for Map"
"btn_set_font_omap","Set for Overmap"
"btn_set_font_all","Set for All"
"btn_reset_font","Reset All Fonts"
,
"tooltip_preview_cyrillics","Show a pangram in Russian."
"tooltip_font_sz_ui","Font size value for menus/dialogs/etc.\nFont width and height will be set automatically."
"tooltip_font_sz_map","Font size for game world (when not using tiles).\nFont width and height will be set automatically."
"tooltip_font_sz_overmap","Font size for world map view a.k.a overmap.\nFont width and height will be set automatically."
"tooltip_font_blending","Smoother font rendering."
"tooltip_save_font","Click to save these settings to options.json.\nThey are also saved automatically when setting a font."
"tooltip_set_font_ui","Use selected font for menus/dialogs/etc."
"tooltip_set_font_map","Use selected font for game world\n(when not using tiles)."
"tooltip_set_font_omap","Use selected font for world map view a.k.a overmap."
"tooltip_set_font_all","Use selected font for everything."
"tooltip_reset_font","Return default fonts (Terminus => Unifont)."
,
"str_curr_font_config","Current fonts + fallbacks:"
"str_curr_font_config_ui","UI"
"str_curr_font_config_map","Map"
"str_curr_font_config_omap","Overmap"
,
"msg_no_font_config_file","Can't manage fonts at this time: font config file does not exist. Make sure you've started the game at least once to create it."
"msg_setting_ui_font","Setting [i]%s[/i] as game UI font."
"msg_setting_map_font","Setting [i]%s[/i] as map font."
"msg_setting_omap_font","Setting [i]%s[/i] as overmap font."
