"keys","en"
,
"msg_mod_json_parsing_failed","Could not parse %s"
"msg_mod_deleted","Deleted %s"
"msg_mod_not_found","Could not find mod with ID \""%s\"""
"msg_deleting_n_mods","Deleting %s mods..."
"msg_obsolete_mod_collision","There is already an obsoleted mod with ID %s. [i]%s[/i] will be installed with modified ID and name to avoid collisions."
"msg_mod_installed","Installed %s"
"msg_installing_n_mods","Installing %s mods..."
"msg_getting_kenan_pack","Retrieving Kenan Modpack for %s..."
"msg_kenan_unavailable", "The Kenan Modpack is not available for %s.."
"msg_wiping_mod_repo","Wiping the repository..."
"msg_unpacking_kenan_mods","Adding mods from the pack to repository..."
"msg_unpacking_archived_mods","Adding archived mods to repository..."
"msg_kenan_install_cleanup","Cleaning up..."
"msg_kenan_install_done","All finished."
