"keys","en"
,
"lbl_installed_mods","Installed%s:"
"str_installed_mods_hidden"," (%s hidden)"
"lbl_mod_repo","Local repository%s:"
"str_mod_repo_hidden"," (%s hidden)"
"cbtn_stock_mods","Show stock"
"btn_delete_mods","Delete Selected"
"cbtn_installed_mods","Show already installed"
"btn_add_sel_mods","Add Selected"
"btn_add_all_mods","Add All"
"btn_get_kenan_pack","Get Kenan Modpack"
"lbl_mod_info","Select a mod in either list to see its details here."
"str_mod_name","Name:"
"str_mod_authors","Authors:"
"str_mod_maintainers","Maintainers:"
"str_mod_category","Category:"
"str_mod_description","Description:"
,
"tooltip_mod_location","Location: %s"
"tooltip_stock_mods","Show mods from data/mods on this list."
"tooltip_installed_mods","Show already installed mods on this list\nin case you want to re-install them."
"tooltip_delete_mods","Remove selected mods from your game installation."
"tooltip_add_sel_mods","Add selected mods to your game installation."
"tooltip_add_all_mods","Add all listed mods to your game installation."
"tooltip_get_kenan_pack","Download Kenan Modpack and add its mods\nto the local repository."
"tooltip_no_kenan_pack","The Kenan Modpack is not available\nfor the active fork."
,
"msg_one_mod_is_stock","One of the selected mods is stock and cannot be deleted."
"msg_n_mods_are_stock","%s of the selected mods are stock and cannot be deleted."
"dlg_deleting_n_mods_title","Confirm Deletion"
"dlg_deleting_n_mods_text","Deleting %s mods."
"msg_mod_install_one_mod_skipped","One mod already comes with the game, so it will not be installed."
"msg_mod_install_n_mods_skipped","%s mods already come with the game, so they will not be installed."
