"keys","en"
,
"msg_updating_game","Updating to %s…"
"msg_installing_game","Installing %s…"
"msg_game_updated","Update finished."
"msg_game_installed","Installation finished."
"msg_migrating_game_data","Migrating game data. This may take a while."
"msg_migrating_saves","Copying savegames..."
"msg_migrating_config","Copying game settings..."
"msg_migrating_mods","Copying mods..."
"msg_migrating_fonts","Copying user fonts..."
"msg_migrating_gfx","Copying tilesets..."
"msg_migrating_sound","Copying soundpacks..."
"msg_migrating_templates","Copying character templates..."
"msg_migrating_memorial","Copying memorial..."
"msg_migrating_graveyard","Copying graveyard..."
