"keys","en"
,
"lbl_licenses","[color=#3b93f7][url]View opensource licenses[/url][/color]"
"cbtn_debug_mode","Debug mode"
"cbtn_enable_scale","Enable  "
"cbtn_install_archived_mods","Include archived mods when installing Kenan Modpack"
"cbtn_keep_launcher_open","Keep launcher open after starting the game"
"cbtn_print_tips","Print tips of the day on startup"
"cbtn_shorten_release_names","Shorten names of experimental releases"
"cbtn_always_show_installs","Always show installs list"
"cbtn_show_game_desc","Show game description"
"cbtn_show_obsolete_mods","List obsolete mods in installed"
"cbtn_updating_to_same_build","Allow ""updating"" to the same build as installed"
"cbtn_keep_cache","Keep download cache"
"cbtn_ignore_cache","Ignore download cache"
"cbtn_enable_proxy","Enable  "
"obtn_proxy_option_off", "Disabled"
"obtn_proxy_option_on", "Enabled"
"obtn_proxy_option_download", "For Downloading Only"
"keys","en"
"lbl_launcher_language","Launcher language"
"lbl_launcher_theme","Launcher theme"
"lbl_num_prs_to_request","Number of results to download for the changelog:"
"lbl_num_releases_to_request","Number of releases to request:"
"lbl_ui_scale_override","Custom UI scaling:"
"lbl_proxy_settings","Proxy server:"
"tooltip_debug_mode","Shows the Debug tab with some testing functions\nand enables debug messages in the status\npane (useful for troubleshooting)."
"tooltip_install_archived_mods","When installing Kenan Modpack, also include *archived* mods.\nThese mods are no longer maintained by Kenan and may be outdated."
"tooltip_keep_launcher_open","If turned off, the launcher will close after clicking Play or Resume.\nNote that if the game fails to start for any reason, the launcher\nwill still close."
"tooltip_num_prs_to_request","How many recent pull requests (code additions)\nwill be requested from GitHub to form the changelog.\nHigh numbers may lead to slow responses and failures."
"tooltip_num_releases_to_request","How many latest releases will be requested\nfrom GitHub after starting the launcher,\nchoosing the game or clicking Refresh."
"tooltip_print_tips","Print a random tip in the status pane when the launcher starts."
"tooltip_shorten_release_names","Shorten release names to just the date and number\n(e.g. ""2021-09-08-1927""instead of\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Show the installs list even when just one\ncopy of the game is installed, or none at all."
"tooltip_show_game_desc","Show a description for the chosen game under the Game list."
"tooltip_show_obsolete_mods","Show mods that come with the game but are marked as ""obsolete"".\nNormally, such mods are not considered as installed."
"tooltip_ui_scale_override","Use this if the automatically inferred UI scale looks too large\nor too small on your system. (Automatic scale relies on\nsystem-reported display DPI, which may not work on all systems,\nor give inadequate results when the resolution is too low.)"
"tooltip_updating_to_same_build","Allow starting the update procedure even when the selected\nrelease is the same as currently installed."
"tooltip_keep_cache","Keep downloaded contents (game releases, modpacks, soundpacks) in cache folder\nwhen install completes, instead of having it deleted."
"tooltip_ignore_cache","Always download contents from the web,\neven if it's already inside cache folder."
"tooltip_proxy_settings","Configure a proxy server for downloading."
"tooltip_proxy_options","Disabled - Do not use proxy\nEnabled - Use proxy on all occasions (e.g. requesting releases)\nFor Downloading Only - Use proxy only when downloading"
