"keys","es"
,
"msg_list_dir_failed","Error al listar la carpeta %s. Código de error: %s."
"msg_cannot_create_target_dir","No se pudo crear la carpeta de destino %s. Código de error: %s."
"msg_copy_file_failed","No se pudo copiar el archivo \""%s\"". Código de error: %s."
"msg_copy_file_failed_details","[u]Ruta de origen:[/u] %s, [u]Ruta de destino:[/u] %s."
"msg_remove_file_failed","No se pudo eliminar el archivo \""%s\"". Código de error: %s."
"msg_remove_file_failed_details","[u]Ruta completa:[/u] %s."
"msg_rm_dir_failed","No se pudo eliminar la carpeta %s. Código de error: %s."
"msg_create_dir_failed","No se pudo crear la carpeta de destino %s. Código de error: %s."
"msg_move_file_failed","No se pudo mover el archivo \""%s\"". Código de error: %s."
"msg_move_file_failed_details","[u]Ruta de origen:[/u] %s, [u]Ruta de destino:[/u] %s."
"msg_move_rmdir_failed","No se pudo eliminar la carpeta de destino  %s. Código de error: %s."
"msg_extract_unsupported","Plataforma o tipo de archivo no soportado (file: %s)"
"msg_extracting_file","Extrayendo %s…"
"msg_extract_error","Comando de extracción de archivo salio de forma errónea (Código de salida: %s)"
"msg_extract_failed_cmd","Comando erróneo: %s"
"msg_extract_fail_output","Salida: %s"
