"keys","es"
,
"msg_game_option_not_found_get","Tried to get game option \""%s\"", but it wasn't found."
"msg_game_option_not_found_set","Se intentó cambiar la opción de juego \""%s\"", pero no se encontró."
"msg_failed_to_open_font_info","No se pudo abrir la información de la fuente."
"msg_could_not_parse_font_info","No se ha podido analizar la información de la fuente incluida."
"msg_font_info_error_details","Código de error: %s. Línea de error: %s. Mensaje de error: %s"
"msg_could_not_parse_font_config","No se pudo analizar el archivo de configuración de fuentes %s."
"msg_font_config_error_details","Código de error: %s. Línea de error: %s. Mensaje de error: %s"
"msg_failed_to_open_font_config","No se pudo abrir el archivo de configuración de fuentes %s (código de error: %s)."
"msg_font_config_not_found","El archivo de configuración de fuentes %s no se encontró!"
"msg_could_not_parse_game_options","No se pudo analizar el archivo de opciones de juego %s."
"msg_game_options_error_details","Código de error: %s. Línea de error: %s. Mensaje de error: %s"
"msg_could_not_open_game_options","No se pudo abrir el archivo de opciones de juego %s (código de error: %s)."
"msg_game_options_not_found","No se encontró el archivo de opciones de juego %s!"
"msg_font_config_not_writable","No se pudo abrir el archivo de configuración de fuentes %s para escribir."
"msg_game_options_saved","Se guardaron las opciones de juego a [i]options.json[/i]."
"msg_game_options_not_writable","No se pudo abrir el archivo de opciones de juego %s para escribir."
"msg_could_not_install_font","No se pudo instalar el archivo de fuentes %s (código de error: %s)."
"msg_font_install_details","Origen de fuente: %s. Destino: %s."
"msg_invalid_font_index_passed","A set_font se le ha pasado un índice de fuente inválido %s."
"msg_font_config_field_missing","La configuración de fuente no tiene el campo \""%s\""."
