"keys","es"
,
"lbl_avail_fonts","Disponible:"
"lbl_font_preview","Vista previa:"
"cbtn_preview_cyrillics","Vista previa de caracteres cirílicos"
"lbl_other_settings","Otras configuraciones"
"lbl_font_sz_ui","Tamaño de fuente de la interfaz:"
"lbl_font_sz_map","Tamaño de fuente del mapa:"
"lbl_font_sz_overmap","Tamaño de fuente del mapa general:"
"cbtn_font_blending","Mezcla de fuentes:"
"btn_save_font","Guardar"
"btn_set_font_ui","Aplicar a interfaz"
"btn_set_font_map","Aplicar al mapa"
"btn_set_font_omap","Aplicar al mapa general"
"btn_set_font_all","Aplicar a todo"
"btn_reset_font","Reiniciar las fuentes"
,
"tooltip_preview_cyrillics","Mostrar un pangrama en ruso."
"tooltip_font_sz_ui","Tamaño de fuente para menús/diálogos/etc.\nEl ancho y altura de la fuente serán aplicados automáticamente"
"tooltip_font_sz_map","Tamaño de fuente para el mundo (cuando no se usen celdas).\nEl ancho y altura de la fuente serán aplicados automáticamente"
"tooltip_font_sz_overmap","Tamaño de fuente para el mapa general.\nEl ancho y altura de la fuente serán aplicados automáticamente"
"tooltip_font_blending","Renderizado de fuente mas suave."
"tooltip_save_font","Haga clic para guardar la configuración en options.json.\nTambién serán guardadas automáticamente al configurar una fuente."
"tooltip_set_font_ui","Usar la fuente seleccionada para menús/diálogos/etc."
"tooltip_set_font_map","Usar la fuente seleccionada para el mundo\n(cuando no se usen celdas)."
"tooltip_set_font_omap","Usar la fuente seleccionada para el mapa general."
"tooltip_set_font_all","Usar la fuente seleccionada para todo."
"tooltip_reset_font","Volver a las fuentes por defecto (Terminus => Unifont)."
,
"str_curr_font_config","Fuentes actuales + fuentes de respaldo:"
"str_curr_font_config_ui","Interfaz"
"str_curr_font_config_map","Mapa"
"str_curr_font_config_omap","Mapa general"
,
"msg_no_font_config_file","No se pueden cambiar las fuentes en este momento: El archivo de configuración de fuentes no existe. Asegúrate de haber iniciado el juego al menos una vez para crearlo."
"msg_setting_ui_font","Configurando [i]%s[/i] como la fuente para la interfaz."
"msg_setting_map_font","Configurando [i]%s[/i] como la fuente para el mapa."
"msg_setting_omap_font","Configurando [i]%s[/i] como la fuente para el mapa general."
