"keys","es"
,
"lbl_installed_mods","Instalados %s:"
"str_installed_mods_hidden"," (%s oculto(s))"
"lbl_mod_repo","Repositorio local%s:"
"str_mod_repo_hidden"," (%s oculto(s))"
"cbtn_stock_mods","Mostrar stock"
"btn_delete_mods","Eliminar seleccionado"
"cbtn_installed_mods","Mostrar los instalados"
"btn_add_sel_mods","Añadir seleccionados"
"btn_add_all_mods","Añadir todos"
"btn_get_kenan_pack","Obtener el Modpack de Kenan"
"lbl_mod_info","Selecciona un mod de cualquier lista para ver sus detalles aquí."
"str_mod_name","Nombre:"
"str_mod_authors","Autores:"
"str_mod_maintainers","Mantenedores:"
"str_mod_category","Categoría:"
"str_mod_description","Descripción:"
,
"tooltip_mod_location","Ubicación: %s"
"tooltip_stock_mods","Mostrar mods de data/mods en esta lista."
"tooltip_installed_mods","Mostrar mods ya instalados en esta lista\nen caso de que quieras volver a instalarlos."
"tooltip_delete_mods","Eliminar mods seleccionados de su instalación del juego."
"tooltip_add_sel_mods","Añadir todos los mods seleccionados a la instalación del juego."
"tooltip_add_all_mods","Añadir todos los mods listados a la instalación del juego."
"tooltip_get_kenan_pack","Descarga el Modpack de Kenan y añade sus mods\nto al repositorio local."
,
"msg_one_mod_is_stock","Uno de los mods seleccionados es stock y no se puede eliminar."
"msg_n_mods_are_stock","%s de los mods seleccionados son stock y no se pueden eliminar."
"dlg_deleting_n_mods_title","Confirmar la eliminación"
"dlg_deleting_n_mods_text","Borrando %s mods."
"msg_mod_install_one_mod_skipped","Un mod ya viene con el juego, por lo que no se instalará."
"msg_mod_install_n_mods_skipped","%s mods ya vienen con el juego, por lo que no se instalarán."
