"keys","es"
,
"lbl_launcher_language","Lenguaje de launcher"
"lbl_launcher_theme","Tema de launcher"
"cbtn_show_game_desc","Mostrar una descripción del juego"
"cbtn_keep_launcher_open","Mantener el lanzador abierto después de comenzar el juego"
"cbtn_print_tips","Mostrar consejos del día en el inicio."
"cbtn_updating_to_same_build","Permitir ""actualizar"" a la misma versión que ya está instalada"
"cbtn_shorten_release_names","Acortar los nombres de los lanzamientos experimentales."
"cbtn_always_show_installs","Mostrar siempre la lista de instalaciones"
"cbtn_show_obsolete_mods","Listar los mods obsoletos en la lista de instalados"
"cbtn_install_archived_mods","Incluir mods archivados al instalar el Modpack de Kenan"
"cbtn_debug_mode","Modo debug"
"lbl_num_releases_to_request","Número de lanzamientos a solicitar:"
"lbl_num_prs_to_request","Número de resultados para descargar para la lista de cambios:"
"lbl_ui_scale_override","Escalado de interfaz personalizada:"
"cbtn_enable_scale","Habilitar  "
,
"tooltip_show_game_desc","Mostrar una descripción para el juego elegido debajo de la lista de Juego."
"tooltip_keep_launcher_open","Si está desactivado, el iniciador se cerrará después de hacer clic en Reproducir o Reanudar.\nTenga en cuenta que si el juego no se inicia por algún motivo, el iniciador\nse cerrará igualmente."
"tooltip_print_tips","Mostrar un tip aleatorio en el panel de estado cuando comienza el launcher."
"tooltip_updating_to_same_build","Permitir iniciar la actualización por más que el lanzamiento\nseleccionado sea el mismo al instalado actualmente."
"tooltip_shorten_release_names","Acortar los nombres de lanzamiento a la fecha y el número\n(ej. ""2021-09-08-1927" "en vez de\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Mostrar la lista de instalaciones incluso cuando solo\nse haya instalado una copia del juego, o ninguna".
"tooltip_show_obsolete_mods","Mostrar mods que vienen con el juego, pero están marcados como ""obsoletos"".\nNormalmente, esos mods no se consideran instalados."
"tooltip_install_archived_mods","Al instalar el Modpack de Kenan, también incluir los mods *archivados*.\nEstos mods ya no son mantenidos por Kenan y pueden estar desactualizados."
"tooltip_debug_mode","Muestra la pestaña ""Debug"" con algunas funciones de prueba\ny habilita los mensajes debug en el panel de estado\n(Esto es útil para solucionar problemas)."
"tooltip_num_releases_to_request","Cuantos de los últimos lanzamientos serán solicitados\ndesde GitHub luego de iniciar el launcher,\nal elegir el juego o hacer clic en Refrescar."
"tooltip_num_prs_to_request","Cuantas pull requests (código añadido)\nserán solicitados desde GitHub para armar la lista de cambios.\nUn numero alto puede resultar en respuestas lentas o fallos."
"tooltip_ui_scale_override","Usa esto si la escala de interfaz automáticamente se ve demasiado grande\no muy pequeña en tu sistema. (La escala automática depende los DPI \nreportados por el sistema, que puede no funcionar en todos los sistemas, \no dar resultados inadecuados cuando la resolución es demasiado baja)."
"cbtn_enable_proxy","Habilitar  "
"cbtn_ignore_cache","Ignorar caché de descarga"
"cbtn_keep_cache","Mantener caché de descarga"
"lbl_licenses","[color=#3b93f7][url]Ver licencias de código abierto[/url][/color]"
"lbl_proxy_settings","Servidor proxy:"
"obtn_proxy_option_download","Solo para descargar"
"obtn_proxy_option_off","Deshabilitado"
"obtn_proxy_option_on","Habilitado"
"tooltip_ignore_cache","Siempre descargar contenido de la web,
incluso si ya está en la carpeta de caché."
"tooltip_keep_cache","Mantener el contenido descargado (lanzamientos del juego, modpacks, soundpacks) en la carpeta de caché
cuando se complete la instalación, en lugar de eliminarlo."
"tooltip_proxy_options","Deshabilitado - No usar proxy
Habilitado - Usar proxy en todas las ocasiones (p. ej., solicitar lanzamientos)
Solo para descargar - Usar proxy solo al descargar"
"tooltip_proxy_settings","Configurar un servidor proxy para descargar."
