"keys","fr"
,
"msg_list_dir_failed","Impossible de lister le répertoire %s. Code d’erreur %s"
"msg_cannot_create_target_dir","Impossible de créer le répertoire cible %s. Code d’erreur %s"
"msg_copy_file_failed","Impossible de copier le fichier \""%s\"". Code d’erreur %s"
"msg_copy_file_failed_details","[u]Chemin source:[/u] %s, [u]Chemin de destination[/u] %s"
"msg_remove_file_failed","Impossible de supprimer le fichier \""%s\"". Code d’erreur %s"
"msg_remove_file_failed_details","[u]Chemin complet:[/u] %s"
"msg_rm_dir_failed","Impossible de supprimer le répertoire %s. Code d’erreur %s"
"msg_create_dir_failed","Impossible de créer le répertoire cible %s. Code d’erreur %s"
"msg_move_file_failed","Impossible de déplacer le fichier \""%s\"". Code d’erreur %s"
"msg_move_file_failed_details","[u]Source: [/u]%s, [u]Destination[/u] %s"
"msg_move_rmdir_failed","Impossible de supprimer le répertoire source %s. Code d’erreur %s"
"msg_extract_unsupported","Plateforme ou format d’archive non supporté (fichier: %s)"
"msg_extracting_file","Extrait %s..."
"msg_extract_error","Commande d’extraction d’archive terminée avec une erreur (code de sortie %s)."
"msg_extract_failed_cmd","Commande échouée: %s"
"msg_extract_fail_output","Sortie: %s"
"msg_zipping_file","Compression de %s..."
"msg_zip_error","La commande de compression d'archive s'est terminée avec une erreur (code de sortie: %s)"
