"keys","fr"
,
"msg_game_option_not_found_get","Essaie de lire l’option de jeu \""%s\"" mais ne le trouve pas."
"msg_game_option_not_found_set","Essaie d’écrire l’option de jeu \""%s\"" mais ne le trouve pas."
"msg_failed_to_open_font_info","Échec d’ouverture du pack d’informations de polices"
"msg_could_not_parse_font_info","Ne peut pas analyser le pack d’informations de polices"
"msg_font_info_error_details","Code d’erreur: %s. Ligne d’erreur: %s. Message d’erreur: %s"
"msg_could_not_parse_font_config","Ne peut pas analyser le fichier de configuration de polices %s"
"msg_font_config_error_details","Code d’erreur: %s. Ligne d’erreur: %s. Message d’erreur: %s"
"msg_failed_to_open_font_config","Ne peut pas ouvrir le fichier de configuration des polices %s (code d’erreur: %s)"
"msg_font_config_not_found","Le fichier de configuration des polices %s n’a pas été trouvé!"
"msg_could_not_parse_game_options","Ne peut pas analyser le fichier des options du jeu %s."
"msg_game_options_error_details","Code d’erreur: %s. Ligne d’erreur: %s. Message d’erreur: %s"
"msg_could_not_open_game_options","Ne peut pas ouvrir le fichier des options du jeu %s (code d’erreur: %s)"
"msg_game_options_not_found","Le fichier d’options du jeu n’a pas été trouvé!"
"msg_font_config_not_writable","Ne peut pas ouvrir le fichier des polices %s pour écriture."
"msg_game_options_saved","Options du jeu sauvegardées sous [i]options.json[/i]"
"msg_game_options_not_writable","Ne peut pas ouvrir le fichier d’options du jeu %s pour écriture."
"msg_could_not_install_font","Ne peut pas installer le fichier de police %s (code d’erreur %s)"
"msg_font_install_details","Police source: %s. Destination: %s"
"msg_invalid_font_index_passed","set_font a passé l’index de police invalide %s"
"msg_font_config_field_missing","Le fichier de configuration des polices n’a pas de champ \""%s\"""
