"keys","fr"
,
"lbl_avail_fonts","Disponible:"
"lbl_font_preview","Prévisualisation:"
"cbtn_preview_cyrillics","Prévisualiser les caractères cyrilliques"
"lbl_other_settings","Autres réglages"
"lbl_font_sz_ui","Taille de l’interface:"
"lbl_font_sz_map","Taille de la carte:"
"lbl_font_sz_overmap","Taille de la carte globale:"
"cbtn_font_blending","Mélange des polices:"
"btn_save_font","Sauver"
"btn_set_font_ui","Appl. à l’interface"
"btn_set_font_map","Appl. à la mini-carte"
"btn_set_font_omap","Appl. à la carte globale"
"btn_set_font_all","Appliquer à tout"
"btn_reset_font","Réinitialiser toutes les polices"
,
"tooltip_preview_cyrillics","Afficher un pangramme en Russe"
"tooltip_font_sz_ui","Valeur de taille de police pour les menus/dialogues/etc.\nLa hauteur et la largeur de la police seront appliqués automatiquement."
"tooltip_font_sz_map","Taille de police pour la carte du jeu (quand on utilise pas les tuiles).\nLa hauteur et la largeur de la police seront appliqués automatiquement."
"tooltip_font_sz_overmap","Taille de la carte du monde.\nLa hauteur et la largeur de la police seront appliqués automatiquement."
"tooltip_font_blending","Lissage des polices"
"tooltip_save_font","Cliquez pour sauvegarder les réglages dans le fichier options.json.\nIls seront sauvegardés automatiquement quand on change une police."
"tooltip_set_font_ui","Utiliser la police sélectionnée pour les menus/dialogues/etc."
"tooltip_set_font_map","Utiliser la police sélectionnée pour la carte du monde (sans utiliser de tuiles)"
"tooltip_set_font_omap","Utiliser la police sélectionnée pour la carte du monde (sans utiliser de tuiles)"
"tooltip_set_font_all","Utiliser la police sélectionnée pour tout"
"tooltip_reset_font","Revenir aux polices par défaut (Terminus => Unifont)."
,
"str_curr_font_config","Polices actuelles et de secours:"
"str_curr_font_config_ui","Interface"
"str_curr_font_config_map","Carte locale"
"str_curr_font_config_omap","Carte du Monde"
,
"msg_no_font_config_file","Impossible de gérer les polices à ce moment: le fichier de configuration des polices n’existe pas. Soyez sûrs d’avoir lancé au moins une fois le jeu pour le créer."
"msg_setting_ui_font","Règle [i]%s[/i] comme police d’interface"
"msg_setting_map_font","Règle [i]%s[/i] comme police de mini-carte"
"msg_setting_omap_font","Règle [i]%s[/i] comme police de carte du monde"
