"keys","fr"
,
"msg_mod_json_parsing_failed","Ne peut pas analyser %s"
"msg_mod_deleted","Supprime %s"
"msg_mod_not_found","Ne peut pas trouver le mod avec l’ID \""%s\"""
"msg_deleting_n_mods","Supprime %s mods..."
"msg_obsolete_mod_collision","Il y a déjà un mod obsolète avec l’ID %s. [i]%s[/i] sera installé avec un ID modifié et un nom différent pour éviter les collisions."
"msg_mod_installed","Installé %s:"
"msg_installing_n_mods","Installe %s mods"
"msg_getting_kenan_pack","Télécharge le modpack de Kenan pour %s..."
"msg_wiping_mod_repo","Vide le dépôt..."
"msg_unpacking_kenan_mods","Ajoute les mods du pack au dépôt..."
"msg_unpacking_archived_mods","Ajoute les mods archivés au dépôt..."
"msg_kenan_install_cleanup","Nettoyage..."
"msg_kenan_install_done","Tout est terminé."
