"keys","fr"
,
"lbl_installed_mods","Installé %s:"
"str_installed_mods_hidden","(%s cachés)"
"lbl_mod_repo","Dépôt local %s:"
"str_mod_repo_hidden","(%s cachés)"
"cbtn_stock_mods","Voir les mods de base"
"btn_delete_mods","Supprimer la sélection"
"cbtn_installed_mods","Voir ceux déjà installés"
"btn_add_sel_mods","Ajouter la sélection"
"btn_add_all_mods","Ajouter tout"
"btn_get_kenan_pack","Télécharger le modpack Kenan"
"lbl_mod_info","Sélectionner un mod dans une des listes pour voir ses détails ici."
"str_mod_name","Nom:"
"str_mod_authors","Auteurs:"
"str_mod_maintainers","Mainteneurs:"
"str_mod_category","Catégorie:"
"str_mod_description","Description:"
,
"tooltip_mod_location","Localisation:%s"
"tooltip_stock_mods","Voir les mods depuis data/mods dans cette liste."
"tooltip_installed_mods","Voir les mods déjà installés dans cette liste au cas où vous souhaitez les réinstaller."
"tooltip_delete_mods","Supprimer les mods sélectionnés de votre répertoire d’installation."
"tooltip_add_sel_mods","Ajouter les mods sélectionnés dans votre répertoire d’installation."
"tooltip_add_all_mods","Ajouter tous les mods listés dans votre répertoire d’intallation."
"tooltip_get_kenan_pack","Télécharger le modpack Kenan et ajouter ses mods dans le dépôt local."
,
"msg_one_mod_is_stock","Un des mod sélectionné est de base et ne peut pas être supprimé."
"msg_n_mods_are_stock","%s des mods sélectionnés sont de base et ne peuvent pas être supprimés."
"dlg_deleting_n_mods_title","Confirmer la suppression"
"dlg_deleting_n_mods_text","Supprime %s mods."
"msg_mod_install_one_mod_skipped","Un des mod est déjà fourni dans le jeu, il ne sera pas installé."
"msg_mod_install_n_mods_skipped","%s mods sont déjà fournis dans le jeu, ils ne seront pas installés."
