"keys","fr"
,
"msg_updating_game","Mettre à jour vers %s…"
"msg_installing_game","Installe %s…"
"msg_game_updated","Mise à jour terminée."
"msg_game_installed","Installation terminée."
"msg_migrating_game_data","Migration des données. Cela peut prendre du temps"
"msg_migrating_saves","Copie des sauvegardes…"
"msg_migrating_config","Copie des réglages…"
"msg_migrating_mods","Copie des mods…"
"msg_migrating_fonts","Copie des polices utilisateur…"
"msg_migrating_gfx","Copie des tuiles…"
"msg_migrating_sound","Copie des packs de sons…"
"msg_migrating_templates","Copie des modèles de personnages…"
"msg_migrating_memorial","Copie du mémorial…"
"msg_migrating_graveyard","Copie du cimetière…"
