"keys","fr"
,
"tip_os_hopping","Vous pouvez transférer le dossier Catapult de Windows vers Linux (ou vice versa) et continuer à l’utiliser, mais vous devrez télécharger le bon exécutable Catapult et mettre à jour votre jeu au moins une fois."
"tip_dual_install","[i]C:DDA[/i] et [i]C:BN[/i] peuvent être installés en même temps. Leurs installations sont complètement indépendantes et leurs mises à jour, mods et packs sonores sont gérés séparément"
"tip_downgrading","Vous pouvez rétrograder votre version du jeu en mettant à jour vers une version précédente, mais faites attention aux problèmes de compatibilité des sauvegardes."
"tip_stock_mods","Les mods fournis avec le jeu ne sont pas gérés par Catapult (sauf pour empêcher leur installation une seconde fois). Catapult ne traite que le dossier [i]mods[/i], pas [i]data/mods[/i]."
"tip_mod_multi_install","Vous pouvez sélectionner plusieurs mods à installer/supprimer en faisant [i]ctrl+clic[/i] et [i]maj+clic[/i] dans les listes."
"tip_modpack_update","Le modpack de Kenan est mis à jour assez souvent. Cliquez à nouveau sur [i]Télécharger le modpack Kenan[/i] pour le télécharger à nouveau et remplacer les mods dans votre dépôt local."
"tip_debug_mode","Vous recevez des messages d’erreur inutiles? Essayez d’activer le mode débogage sous [i]Paramètres[/i] pour un affichage plus détaillé."
"tip_bug_reporting","Si vous rencontrez un problème avec le lanceur et que vous ne le voyez pas déjà signalé [color=#3b93f7][url=https://github.com/qrrk/Catapult/issues]sur GitHub[/url][/color ], alors vous pourriez bien être la première personne à le remarquer ! Pensez à créer un ticket pour cela, si vous avez un compte GitHub. "
"tip_backup_caveat","Si vous conservez plusieurs mondes dans votre jeu, sachez que les backups des sauvegardes fonctionnent toujours sur l’intégralité du répertoire des sauvegardes. Cela signifie que lorsqu’une sauvegarde est restaurée, tout le contenu précédent du répertoire de sauvegarde est perdu (y compris tous les mondes qui n’étaient pas dans cette sauvegarde)."
