keys,ko
,
lbl_channel,채널:
rbtn_stable,안정판
rbtn_experimental,실험판
lbl_changelog,[right][color=#3b93f7][url]실험판 변경 로그 보기[/url][/color][/right]
lbl_builds,사용 가능한 빌드:
btn_refresh,새로 고침
btn_install,선택한 항목 설치
btn_update,선택한 항목을 업데이트
cb_update_active,현재 활성화된 버전을 업데이트
lbl_active_install,활성화된 버전:
btn_play,게임 시작
btn_resume,마지막 세계 이어하기
lbl_installs,설치된 버전:
lbl_currently_installed,현재 설치된 버전:
lbl_none,없음
btn_activate,활성화
btn_delete,삭제
,
tooltip_game,관리하거나 플레이할 게임을 선택하세요.
tooltip_changelog,GitHub의 최신 변경 사항 요약을 로드하려면 클릭하세요.
tooltip_stable,안정적인 릴리스 채널(DDA에만 해당)
tooltip_experimental,실험적인 출시 채널.
tooltip_builds,설치하거나 업데이트할 게임 릴리스를 선택합니다.
tooltip_refresh,GitHub에서 사용 가능한 게임 릴리스 목록을\n다시 검색합니다(실험 릴리스에만 해당).
tooltip_install,선택한 게임 릴리스를 설치합니다(DDA와 BN은\n별도로 관리되며 공존할 수 있습니다)
tooltip_update,선택하면 현재 활성으로 설정된 게임 설치가\n위에서 선택한 버전으로 대체됩니다.\n그렇지 않으면 선택한 빌드가 새로운\n별도의 게임 설치가 됩니다.
tooltip_game_dir,게임 설치 디렉터리를 엽니다(게임 실행 파일과 내장 게임 콘텐츠가\n포함되어 있습니다).
tooltip_user_dir,"사용자 데이터 디렉토리 열기(저장, \n게임 구성, 사용자 모드, 사운드 등 포함)"
tooltip_play,게임을 시작합니다.
tooltip_resume,메인 메뉴를 건너뛰고 마지막으로 플레이한 월드를 빠르게 로드합니다.\n(여러 캐릭터가 있는 경우 항상 첫 번째 캐릭터가 로드됩니다.)
tooltip_activate,"선택한 게임 설치를 활성(즉, 사용 중)으로 설정합니다.\n""활성"" 설치는 재생/다시 시작을 클릭할 때 시작되거나\n설치를 클릭할 때 업데이트되는\n게임입니다."
tooltip_delete,"선택한 게임 사본을 삭제하세요.\n(저장 파일, 설정 및 기타 사용자 데이터는\n별도로 저장되며 손실되지 않습니다.)"
tooltip_installs_item,위치:\n%s\n(폴더를 열려면 두 번 클릭)
,
msg_set_active,활성 설치를 %s(으)로 설정 중입니다.
