"keys","pl"
,
"msg_list_dir_failed","Nie udało się wypisać folderu %s. Kod błędu: %s."
"msg_cannot_create_target_dir","Nie udało się stworzyć folderu docelowego %s. Kod błędu: %s."
"msg_copy_file_failed","Nie udało się skopiować pliku \""%s\"". Kod błędu: %s."
"msg_copy_file_failed_details","[u]Ścieżka źródłowa:[/u] %s, [u]ścieżka docelowa:[/u] %s."
"msg_remove_file_failed","Nie udało się usunąć pliku \""%s\"". Kod błędu: %s."
"msg_remove_file_failed_details","[u]Pełna ścieżka:[/u] %s."
"msg_rm_dir_failed","Nie udało się usunąć folderu %s. Kod błędu: %s."
"msg_create_dir_failed","Nie udało się stworzyć folderu docelowego %s. Kod błędu: %s."
"msg_move_file_failed","Nie udało się przenieść pliku \""%s\"". Kod błędu: %s."
"msg_move_file_failed_details","[u]Ścieżka źródłowa:[/u] %s, [u]ścieżka docelowa:[/u] %s."
"msg_move_rmdir_failed","Nie udało się usunąć folderu źródłowego %s. Kod błędu: %s."
"msg_extract_unsupported","Nieobsługiwana platforma lub format archiwa (plik: %s)"
"msg_extracting_file","Rozpakowywanie %s..."
"msg_extract_error","Komenda rozpakowywania archiwum zakończyła się błędem (kod wyjścia: %s)"
"msg_extract_failed_cmd","Nieudana komenda: %s"
"msg_extract_fail_output","Wyjście: %s"
"msg_zipping_file","Kompresowanie %s..."
"msg_zip_error","Polecenie kompresji archiwum zakończyło się błędem (kod wyjścia: %s)"
