"keys","pl"
,
"msg_game_option_not_found_get","Próbowano odzyskać opcję gry \""%s\"", ale nie została ona znaleziona."
"msg_game_option_not_found_set","Próbowano ustawić opcję gry \""%s\"", ale nie została ona znaleziona."
"msg_failed_to_open_font_info","Nie udało się otworzyć informacji pakietu czcionki."
"msg_could_not_parse_font_info","Nie udało się sparsować informacji pakietu czcionki."
"msg_font_info_error_details","Kod błędu: %s. Linia błędu: %s. Wiadomość błędu: %s"
"msg_could_not_parse_font_config","Nie udało się sparsować pliku konfiguracyjnego czcionki %s."
"msg_font_config_error_details","Kod błędu: %s. Linia błędu: %s. Wiadomość błędu: %s"
"msg_failed_to_open_font_config","Nie udało się otworzyć pliku konfiguracyjnego czcionki %s (kod błędu: %s)."
"msg_font_config_not_found","Plik konfiguracyjny czcionki %s nie został znaleziony!"
"msg_could_not_parse_game_options","Nie udało się sparsować pliku opcji gry %s."
"msg_game_options_error_details","Kod błędu: %s. Linia błędu: %s. Wiadomość błędu: %s"
"msg_could_not_open_game_options","Nie udało się otworzyć pliku opcji gry %s (kod błędu: %s)."
"msg_game_options_not_found","Plik opcji gry %s nie został znaleziony!"
"msg_font_config_not_writable","Nie udało się otworzyć pliku konfiguracyjnego czcionki %s do zapisu."
"msg_game_options_saved","Zapisano opcje gry do [i]options.json[/i]."
"msg_game_options_not_writable","Nie udało się otworzyć pliku opcji gry %s do zapisu."
"msg_could_not_install_font","Nie udało się zainstalować pliku czcionki %s (kod błedu: %s)."
"msg_font_install_details","Źródło Czcionki: %s. Miejsce docelowe: %s."
"msg_invalid_font_index_passed","Funkcja set_font przekazała niepoprawny index czcionki %s."
"msg_font_config_field_missing","Konfiguracja czcionki nie posiada pola \""%s\""."
