"keys","pl"
,
"lbl_avail_fonts","Dostępne:"
"lbl_font_preview","Podgląd:"
"cbtn_preview_cyrillics","Podgląd znaków cyrylicy"
"lbl_other_settings","Inne ustawienia"
"lbl_font_sz_ui","Rozmiar czcionki UI:"
"lbl_font_sz_map","Rozmiar czcionki mapy:"
"lbl_font_sz_overmap","Rozmiar czcionki mapy pomocniczej:"
"cbtn_font_blending","Wtapianie czcionki:"
"btn_save_font","Zapisz"
"btn_set_font_ui","Ustaw dla UI gry"
"btn_set_font_map","Ustaw dla mapy"
"btn_set_font_omap","Ustaw dla mapy świata"
"btn_set_font_all","Ustaw dla wszystkich"
"btn_reset_font","Zresetuj wszystkie czcionki"
,
"tooltip_preview_cyrillics","Pokaż pangram w języku rosyjskim."
"tooltip_font_sz_ui","Wartość rozmiaru czcionki dla menu/dialogów/etc.\nSzerokość i długość czcionki zostanie ustawiona automatycznie."
"tooltip_font_sz_map","Rozmiar czcionki dla świata gry (kiedy kafelki nie są używane).\nSzerokość i długość czcionki zostanie ustawiona automatycznie."
"tooltip_font_sz_overmap","Rozmiar czcionki dla widoku mapy świata (overmap).\nSzerokość i długość czcionki zostanie ustawiona automatycznie."
"tooltip_font_blending","Gładsze renderowanie czcionki."
"tooltip_save_font","Kliknij, aby zapisać te ustawienia do options.json.\nSą one również automatycznie zapisywane przy ustawianiu czcionki."
"tooltip_set_font_ui","Użyj wybranej czcionki dla menu/dialogów/etc."
"tooltip_set_font_map","Użyj wybranej czcionki dla świata gry\n(kiedy kafelki nie są używane)."
"tooltip_set_font_omap","Użyj wybranej czcionki dla widoku mapy świata (overmap)."
"tooltip_set_font_all","Użyj wybranej czcionki dla wszystkich."
"tooltip_reset_font","Przywróć domyślne czcionki (Terminus => Unifont)."
,
"str_curr_font_config","Obecne czcionki + rezerwowe:"
"str_curr_font_config_ui","UI"
"str_curr_font_config_map","Mapa"
"str_curr_font_config_omap","Mapa świata"
,
"msg_no_font_config_file","Nie można zarządzać czcionkami w tej chwili: plik konfiguracyjny czcionki nie istnieje. Upewnij się, że gra została uruchomiona co najmniej raz, aby plik został utworzony."
"msg_setting_ui_font","Ustawianie [i]%s[/i] jako czcionki UI gry."
"msg_setting_map_font","Ustawianie [i]%s[/i] jako czcionkę mapy."
"msg_setting_omap_font","Ustawianie [i]%s[/i] jako czcionkę mapy świata."
