"keys","pl"
,
"lbl_channel","Kanał:"
"rbtn_stable","Stabilny"
"rbtn_experimental","Eksperymentalny"
"lbl_changelog","[right][color=#3b93f7][url]Pokaż Eksperymentalną Listę Zmian[/url][/color][/right]"
"lbl_builds","Dostępne kompilacje:"
"btn_refresh","Odśwież"
"btn_install","Zainstaluj Wybraną"
"btn_update","Zaktualizuj do Wybranej"
"cb_update_active","Aktualizuj bieżącą aktywną instalację"
"lbl_active_install","Aktywna instalacja:"
"btn_play","Uruchom"
"btn_resume","Wznów Ostatni Świat"
"lbl_installs","Zainstalowane wersje:"
"lbl_currently_installed","Obecnie zainstalowano:"
"lbl_none","Brak"
"btn_activate","Aktywuj"
"btn_delete","Usuń"
,
"tooltip_game","Wybierz grę do zarządzania lub uruchomienia."
"tooltip_changelog","Kliknij aby wczytać podsumowanie najnowszych zmian z GitHub."
"tooltip_stable","Kanał wydania stabilnego (tylko DDA)."
"tooltip_experimental","Kanał wydania eksperymentalnego."
"tooltip_builds","Wybierz, które wydanie gry chcesz zainstalować lub do którego zaktualizować."
"tooltip_refresh","Ponownie odzyskaj listę dostępnych wydań gry\nz GitHub (tylko dla wydań eksperymentalnych)."
"tooltip_install","Zainstaluj wybrane wydanie gry (DDA oraz BN\nsą zarządzane oddzielnie i mogą współistnieć)."
"tooltip_update","Jeśli zaznaczone, instalacja gry ustawiona jako aktywna\nzostanie zastąpiona wersją wybraną powyżej.\nW przeciwnym razie wybrana kompilacja będzie nową,\noddzielną instalacją gry."
"tooltip_game_dir","Otwórz folder instalacji gry (zawierający plik\nwykonywalny gry oraz wbudowaną zawartość gry)."
"tooltip_user_dir","Otwórz folder danych użytkownika (zawierający zapisy,\nkonfigurację gry, mody użytkownika, dźwięki, etc.)"
"tooltip_play","Uruchom grę."
"tooltip_resume","Pomiń główne menu i wykonaj szybkie wczytywanie ostatnio uruchomionego świata.\n(Wybrana zostanie zawsze pierwsza postać, jeżeli dostępnych jest wiele.)"
"tooltip_activate","Ustaw wybraną instalację gry jako aktywną (tj. w użyciu).\n""Aktywna"" instalacja to ta, która zostanie uruchomiona\npo kliknięciu przycisku Uruchom/Wznów lub zaktualizowana po\nkliknięciu Zainstaluj."
"tooltip_delete","Usuń wybraną kopię gry.\n(Zapisane gry, ustawienia i inne dane użytkownika\nsą przechowywane oddzielnie i nie zostaną utracone.)"
"tooltip_installs_item","Lokalizacja:\n%s\n(kliknij dwukrotnie, aby otworzyć folder)"
,
"msg_set_active","Ustawianie aktywnej instalacji na %s."
