"keys","pl"
,
"lbl_installed_mods","Zainstalowane%s:"
"str_installed_mods_hidden"," (%s ukrytych)"
"lbl_mod_repo","Lokalne repozytorium%s:"
"str_mod_repo_hidden"," (%s ukrytych)"
"cbtn_stock_mods","Pokaż już zainstalowane"
"btn_delete_mods","Usuń wybrane"
"cbtn_installed_mods","Pokaż obecnie zainstalowane"
"btn_add_sel_mods","Dodaj wybrane"
"btn_add_all_mods","Dodaj wszystkie"
"btn_get_kenan_pack","Pobierz Kenan Modpack"
"lbl_mod_info","Wybierz mod z jednej z list, aby zobaczyć jego szczegóły."
"str_mod_name","Nazwa:"
"str_mod_authors","Autorzy:"
"str_mod_maintainers","Opiekunowie:"
"str_mod_category","Kategoria:"
"str_mod_description","Opis:"
,
"tooltip_mod_location","Lokalizacja: %s"
"tooltip_stock_mods","Pokaż mody z data/mods na tej liście."
"tooltip_installed_mods","Pokaż zainstalowane już mody na tej liście,\nna wypadek jeśli chcesz je przeinstalować."
"tooltip_delete_mods","Usuń wybrane mody z twojej instalacji gry."
"tooltip_add_sel_mods","Dodaj wybrane mody do twojej instalacji gry."
"tooltip_add_all_mods","Dodaj wszystkie wymienione mody do twojej instalacji gry."
"tooltip_get_kenan_pack","Pobierz Kenan Modpack i dodaj jego mody\ndo twojego lokalnego repozytorium."
,
"msg_one_mod_is_stock","Jeden z wybranych modów jest wbudowany i nie może być usunięty."
"msg_n_mods_are_stock","%s z wybranych modów jest wbudowanych i nie mogą być usunięte."
"dlg_deleting_n_mods_title","Potwierdź usuwanie"
"dlg_deleting_n_mods_text","Usuwanie %s modów."
"msg_mod_install_one_mod_skipped","Jeden mod jest już wbudowany w grę, więc nie będzie on zainstalowany."
"msg_mod_install_n_mods_skipped","%s modów jest już wbudowanych w grę, więc nie będą one zainstalowane."
