"keys","pl"
,
"cbtn_debug_mode","Tryb debugowania"
"cbtn_enable_scale","Aktywuj  "
"cbtn_install_archived_mods","Uwzględnij zarchiwowane mody podczas instalacji Kenan Modpack"
"cbtn_keep_launcher_open","Pozostaw launcher otwarty po starcie gry"
"cbtn_print_tips","Wyświetl wskazówki dnia przy uruchomieniu"
"cbtn_shorten_release_names","Skróć nazwy eksperymentalnych kompilacji"
"cbtn_always_show_installs","Zawsze pokazuj listę instalacji"
"cbtn_show_game_desc","Pokaż opis gry"
"cbtn_show_obsolete_mods","Obejmij przestarzałe mody w liście zainstalowanych"
"cbtn_updating_to_same_build","Zezwól na ""aktualizację"" do tego samego wydania, co zainstalowane"
"keys","pl"
"lbl_launcher_language","Język launchera"
"lbl_launcher_theme","Motyw launchera"
"lbl_num_prs_to_request","Numer wyników do pobrania dla listy zmian:"
"lbl_num_releases_to_request","Numer wydań do zażądania:"
"lbl_ui_scale_override","Niestandardowe skalowanie UI:"
"tooltip_debug_mode","Pokazuje kartę Debug, z niektórymi funkcjami testowymi,\noraz aktywuje wiadomości debugowe w pasku statusu\n(użyteczne do rozwiązywania problemów)."
"tooltip_install_archived_mods","Podczas instalacji Kenan Modpack, uwzględnia również *zarchiwowane* mody.\nMody te nie są już dłużej zarządzane przez Kenana i mogą być nieaktualne."
"tooltip_keep_launcher_open","Kiedy wyłączone, launcher zostanie zamknięty po kliknęciu Uruchom lub Wznów.\nWarto zanotować, iż jeśli nie uda się uruchomić gry z jakiegokolwiek powodu, launcher\nzostanie także zamknięty."
"tooltip_num_prs_to_request","Jak wiele ostatnich pull requestów (dodatków kodu)\nbędzie zażądanych z GitHub do uformowania listy zmian.\nWysokie liczby mogą prowadzić do wolnych odpowiedzi i błędów."
"tooltip_num_releases_to_request","Jak wiele najnowszych wydań zostanie zażądanych\nz GitHub po uruchomieniu launchera, wybraniu gry\nlub kliknięciu Odśwież."
"tooltip_print_tips","Wyświetla losową wskazówkę w pasku statusu, po uruchomieniu launchera."
"tooltip_shorten_release_names","Skróca nazwy wydań do jedynie daty i numeru\n(np. ""2021-09-08-1927"" zamiast \n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Pokaż listę instalacji, nawet jeśli jest\nzainstalowana tylko jedna kopia gry lub wcale."
"tooltip_show_game_desc","Pokazuje opis dla wybranej gry pod listą gier."
"tooltip_show_obsolete_mods","Pokazuje mody wbudowane w grę, które zostały oznaczone jako ""przestarzałe"".\nNormalnie, mody jak te, nie są uznawane jako zainstalowane."
"tooltip_ui_scale_override","Użyj tej opcji, jeżeli automatycznie sugerowana skala UI wydaje się\nzbyt wielka\zbyt mała dla twojego systemu.\n(Automatyczna skala opiera się na systemowo ustawionym DPI,\nco może nie działać poprawnie na wszystkich systemach \nlub dawać nieadekwatne rezultaty, kiedy rozdzielczość jest zbyt mała.)"
"tooltip_updating_to_same_build","Pozwól na uruchamianie procedury aktualizacji, nawet jeśli wybrane\nwydanie jest takie same jak obecnie zainstalowane."
