"keys","pl"
,
"lbl_installed_sound","Zainstalowane:"
"lbl_avail_sound","Do pobrania:"
"cbtn_stock_sound","Pokaż wbudowane"
"btn_delete_sound","Usuń wybrane"
"btn_install_sound","Zainstaluj wybrane"
"btn_reinstall_sound","Przeinstaluj wybrane"
,
"tooltip_stock_sound","Pokazuj paczki dźwiękowe z data/sound na liście."
"tooltip_delete_sound","Usuń wybraną paczkę dźwiękową z twojej instalacji gry."
"tooltip_install_sound","Pobierz wybraną paczkę dźwiękową i dodaj ją do twojej instalacji gry."
,
"dlg_sound_deletion_title","Potwierdź usunięcie Paczki dźwiękowej"
"dlg_sound_deletion_text","Usuwanie %s."
"dlg_sound_manual_dl_title","Wymagane pobranie ręczne"
"dlg_sound_manual_dl_text","Paczka ta nie można zostać pobrana automatycznie. Kliknij OK, aby pobrać ją z twojej przeglądarki, a następnie wybierz gdzie została ona zapisana w polu wybierania plików."
,
"str_no_sound_desc","Nie podano opisu."
