"keys","pt"
,
"msg_game_option_not_found_get","Tentou acessar a opção do jogo \""%s\"", mas ela não foi encontrada."
"msg_game_option_not_found_set","Tentou definir a opção do jogo \""%s\"", mas ela não foi encontrada."
"msg_failed_to_open_font_info","Falha ao abrir informações da fonte.."
"msg_could_not_parse_font_info","Não foi possível analisar as informações da fonte."
"msg_font_info_error_details","Código do erro: %s. Linha do erro: %s. Mensagem do erro: %s"
"msg_could_not_parse_font_config","Não foi possível analisar o arquivo de configuração da fonte %s."
"msg_font_config_error_details","Código do erro: %s. Linha do erro: %s. Mensagem do erro: %s"
"msg_failed_to_open_font_config","Não foi possível abrir o arquivo de configuração de fonte %s (código de erro: %s)."
"msg_font_config_not_found","O arquivo de configuração de fonte %s não foi encontrado!"
"msg_could_not_parse_game_options","Não foi possível analisar o arquivo de opções do jogo %s."
"msg_game_options_error_details","Código do erro: %s. Linha do erro: %s. Mensagem do erro: %s"
"msg_could_not_open_game_options","Não foi possível abrir o arquivo de opções do jogo %s (código de erro: %s)."
"msg_game_options_not_found","Arquivo de opções do jogo %s não foi encontrado!"
"msg_font_config_not_writable","Não foi possível abrir o arquivo de configuração de fonte %s para salvar."
"msg_game_options_saved","Opções de jogo salvas para [i]options.json[/i]."
"msg_game_options_not_writable","Não foi possível abrir o arquivo de opções do jogo %s para salvar."
"msg_could_not_install_font","Não foi possível instalar o arquivo de fonte %s (código de erro: %s)."
"msg_font_install_details","Origem da fonte: %s. Destino: %s."
"msg_invalid_font_index_passed","O set_font passou um índice de fonte inválido %s."
"msg_font_config_field_missing","A configuração da fonte não tem o campo \""%s\""."
