"keys","pt"
,
"msg_mod_json_parsing_failed","Não foi possível analisar %s"
"msg_mod_deleted","Deletou %s"
"msg_mod_not_found","Não foi possível encontrar mod com ID \""%s\"""
"msg_deleting_n_mods","Deletando %s mods..."
"msg_obsolete_mod_collision","Já existe um mod obsoleto com ID %s. [i]%s[/i] será instalado com ID e nome modificados para evitar conflitos."
"msg_mod_installed","Instalou %s"
"msg_installing_n_mods","Instalou %s mods..."
"msg_getting_kenan_pack","Obtendo o Modpack do Kenan para %s..."
"msg_wiping_mod_repo","Limpando o repositório..."
"msg_unpacking_kenan_mods","Adicionando mods do pacote ao repositório..."
"msg_unpacking_archived_mods","Adicionando mods arquivados ao repositório..."
"msg_kenan_install_cleanup","Limpando..."
"msg_kenan_install_done","Tudo pronto."
