"keys","pt"
,
"lbl_installed_mods","Instalados%s:"
"str_installed_mods_hidden"," (%s ocultos(s))"
"lbl_mod_repo","Repositório local%s:"
"str_mod_repo_hidden"," (%s ocultos(s))"
"cbtn_stock_mods","Mostrar estoque"
"btn_delete_mods","Deletar Selecionado"
"cbtn_installed_mods","Mostrar os Instalados"
"btn_add_sel_mods","Add Selecionados"
"btn_add_all_mods","Add Todos"
"btn_get_kenan_pack","Obter Modpack do Kenan"
"lbl_mod_info","Selecione um mod em qualquer uma das listas para ver seus detalhes aqui."
"str_mod_name","Nome:"
"str_mod_authors","Autores:"
"str_mod_maintainers","Mantenedores:"
"str_mod_category","Categoria:"
"str_mod_description","Descrição:"
,
"tooltip_mod_location","Local: %s"
"tooltip_stock_mods","Mostrar mods de data/mods nesta lista."
"tooltip_installed_mods","Mostrar os mods já instalados nessa lista,\ncaso você queira reinstalá-los."
"tooltip_delete_mods","Remova os mods selecionados da instalação do jogo."
"tooltip_add_sel_mods","Adicionar mods selecionados à instalação do jogo."
"tooltip_add_all_mods","Adicione todos os mods listados à instalação do jogo."
"tooltip_get_kenan_pack","Baixar o Modpack do Kenan e adicionar seus mods\npara o repositório local."
,
"msg_one_mod_is_stock","Um dos mods selecionados é padrão e não pode ser excluído."
"msg_n_mods_are_stock","%s dos mods selecionados são padrão e não podem ser excluídos."
"dlg_deleting_n_mods_title","Confirmar Exclusão"
"dlg_deleting_n_mods_text","Deletando %s mods."
"msg_mod_install_one_mod_skipped","Um mod já vem com o jogo, portanto, ele não será instalado."
"msg_mod_install_n_mods_skipped","%s mods já vêm com o jogo, portanto, não serão instalados."
