"keys","pt"
,
"lbl_launcher_language","Idioma do Launcher"
"lbl_launcher_theme","Tema do launcher"
"cbtn_show_game_desc","Mostrar descrição do jogo"
"cbtn_keep_launcher_open","Manter o launcher aberto depois de iniciar o jogo"
"cbtn_print_tips","Mostrar dicas do dia na inicialização"
"cbtn_updating_to_same_build","Permitir a ""atualização"" para a mesma versão instalada"
"cbtn_shorten_release_names","Encurtar os nomes de versões experimentais"
"cbtn_always_show_installs","Sempre mostrar a lista de instalações"
"cbtn_show_obsolete_mods","Listar mods obsoletos em instalados"
"cbtn_install_archived_mods","Incluir mods arquivados ao instalar o Modpack do Kenan"
"cbtn_debug_mode","Modo debug"
"lbl_num_releases_to_request","Número de versões a serem requisitadas:"
"lbl_num_prs_to_request","Número de resultados a serem baixados para a lista de mudanças:"
"lbl_ui_scale_override","Dimensionamento personalizado da interface:"
"cbtn_enable_scale","Habilitar  "
,
"tooltip_show_game_desc","Mostrar uma descrição do jogo escolhido na Lista de Jogos."
"tooltip_keep_launcher_open","Se estiver desativado, o launcher fechará depois de clicar em Play ou Continuar.\nNote que, se o jogo não for iniciado por qualquer motivo,\n o iniciador será fechado."
"tooltip_print_tips","Mostrar uma dica aleatória no painel de status quando o iniciador é iniciado."
"tooltip_updating_to_same_build","Permitir iniciar o procedimento de atualização mesmo quando \na versão selecionada for a mesma que a instalada atualmente."
"tooltip_shorten_release_names","Reduz o nome de versão para e data e número\n(ex: ""2021-09-08-1927""ao invés de\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Mostrar a lista de instalações mesmo quando apenas uma \ncópia do jogo estiver instalada, ou nenhuma."
"tooltip_show_obsolete_mods","Mostrar mods que vêm com o jogo, mas estão marcados como \n""obsoletos"". Normalmente, esses mods não são considerados como instalados."
"tooltip_install_archived_mods","Ao instalar o Kenan Modpack, inclua também os mods *arquivados*.\nEsses mods não são mais mantidos pelo Kenan e podem estar desatualizados."
"tooltip_debug_mode","Mostra a aba Debug com algumas funções de teste \ne ativa mensagens de depuração no painel de status \n(útil para solução de problemas)."
"tooltip_num_releases_to_request","Quantas versões mais recentes serão solicitadas \ndo GitHub depois de iniciar o launcher, \nao escolher o jogo ou clicar em Atualizar."
"tooltip_num_prs_to_request","Quantas solicitações de PR (adições de código)\nserão feitas ao GitHub para formar a lista de mudanças.\nUm número alto pode levar a respostas lentas e falhas."
"tooltip_ui_scale_override","Use essa opção se a escala da interface do usuário definida automaticamente \nparecer muito grande ou  pequena em seu sistema. \n(A escala automática depende do DPI da tela informado pelo sistema, que pode não funcionar \nem todos os dispositivos ou fornecer resultados inadequados quando a resolução é muito baixa.)"
