"keys","pt"
,
"lbl_installed_sound","Instalados:"
"lbl_avail_sound","Disponíveis:"
"cbtn_stock_sound","Mostrar estoque"
"btn_delete_sound","Deletar Selecionado"
"btn_install_sound","Instalar Selecionado"
"btn_reinstall_sound","Reinstalar Selecionado"
,
"tooltip_stock_sound","Mostrar pacotes de sons de data/sound na lista."
"tooltip_delete_sound","Remova o pacote de sons selecionado da instalação do jogo."
"tooltip_install_sound","Baixar o pacote de sons e adicioná-lo à instalação do jogo."
,
"dlg_sound_deletion_title","Confirmar Exclusão do Pacote de Sons"
"dlg_sound_deletion_text","Deletando %s."
"dlg_sound_manual_dl_title","É Necessário Baixar Manualmente"
"dlg_sound_manual_dl_text","Esse pacote de sons não pode ser baixado automaticamente. Clique em OK para fazer o download em seu navegador e, em seguida, escolha onde o salvou na caixa de diálogo de seleção de arquivo."
,
"str_no_sound_desc","Nenhuma descrição fornecida."
