"keys","ru"
,
"msg_list_dir_failed","Не удалось получить листинг директории %s. Код ошибки: %s."
"msg_cannot_create_target_dir","Не удалось создать папку назначения %s. Код ошибки: %s."
"msg_copy_file_failed","Не удалось скопировать файл \""%s\"". Код ошибки: %s."
"msg_copy_file_failed_details","[u]Исходный путь:[/u] %s, [u]путь назначения:[/u] %s."
"msg_remove_file_failed","Не удалось удалить файл \""%s\"". Код ошибки: %s."
"msg_remove_file_failed_details","[u]Полный путь:[/u] %s."
"msg_rm_dir_failed","Не удалось удалить директорию %s. Код ошибки: %s."
"msg_create_dir_failed","Не удалось создать директорию назначения %s. Код ошибки: %s."
"msg_move_file_failed","Не удалось переместить файл \""%s\"". Код ошибки: %s."
"msg_move_file_failed_details","[u]Исходный путь:[/u] %s, [u]путь назначения:[/u] %s."
"msg_move_rmdir_failed","Не получилось удалить исходную директорию %s. Код ошибки: %s."
"msg_extract_unsupported","Неподдерживаемая платформа или формат архива (файл: %s)"
"msg_extracting_file","Распаковка %s…"
"msg_extract_error","Команда распаковки архива завершилась с ошибкой (код возврата: %s)"
"msg_extract_failed_cmd","Неудавшаяся команда: %s"
"msg_extract_fail_output","Вывод команды: %s"
