"keys","ru"
,
"msg_game_option_not_found_get","Нужно было прочитать параметр игры \""%s\"", но его не удалось найти."
"msg_game_option_not_found_set","Нужно было изменить параметр игры \""%s\"", но его не удалось найти."
"msg_failed_to_open_font_info","Не удалось открыть информацию об идущих с лончером шрифтах."
"msg_could_not_parse_font_info","Не удалось разобрать информацию об идущих с лончером шрифтах."
"msg_font_info_error_details","Код ошибки: %s. Строка с ошибкой: %s. Сообщение: %s"
"msg_could_not_parse_font_config","Не удалось разобрать файл конфигурации шрифтов %s."
"msg_font_config_error_details","Код ошибки: %s. Строка с ошибкой: %s. Сообщение: %s"
"msg_failed_to_open_font_config","Не удалось открыть файл конфигурации шрифтов %s (код ошибки: %s)."
"msg_font_config_not_found","Не найден файл конфигурации шрифтов %s!"
"msg_could_not_parse_game_options","Не удалось разобрать файл настроек игры %s."
"msg_game_options_error_details","Код ошибки: %s. Строка с ошибкой: %s. Сообщение: %s"
"msg_could_not_open_game_options","Не удалось открыть файл настроек игры %s (код ошибки: %s)."
"msg_game_options_not_found","Не найден файл настроек игры %s!"
"msg_font_config_not_writable","Не удалось открыть файл конфигурации шрифтов %s на запись."
"msg_game_options_saved","Настройки игры были сохранены в [i]options.json[/i]."
"msg_game_options_not_writable","Не удалось открыть файл настроек игры %s на запись."
"msg_could_not_install_font","Не удалось установить файл шрифта %s (код ошибки: %s)."
"msg_font_install_details","Исходное расположение шрифта: %s. Цель копирования: %s."
"msg_invalid_font_index_passed","В функцию set_font был передан недействительный индекс шрифта: %s."
"msg_font_config_field_missing","В конфигурации шрифтов отсутствует поле \""%s\""."
