"keys","ru"
,
"lbl_avail_fonts","Доступные шрифты:"
"lbl_font_preview","Предпросмотр:"
"cbtn_preview_cyrillics","Предпросмотр символов кириллицы"
"lbl_other_settings","Другие настройки"
"lbl_font_sz_ui","Размер шрифта UI:"
"lbl_font_sz_map","Размер шрифта мира:"
"lbl_font_sz_overmap","Размер шрифта карты:"
"cbtn_font_blending","Сглаживание шрифтов"
"btn_save_font","Сохранить"
"btn_set_font_ui","Уст. для UI"
"btn_set_font_map","Уст. для мира"
"btn_set_font_omap","Уст. для карты"
"btn_set_font_all","Уст. для всего"
"btn_reset_font","Сбросить все шрифты"
,
"tooltip_preview_cyrillics","Показывать панграмму на русском языке."
"tooltip_font_sz_ui","Размер шрифта для меню, диалогов и т.п. Высота и ширина шрифта будут установлены автоматически."
"tooltip_font_sz_map","Размер шрифта для игрового мира (когда не используются графические тайлы). Высота и ширина шрифта будут установлены автоматически."
"tooltip_font_sz_overmap","Размер шрифта для карты мира. Высота и ширина шрифта будут установлены автоматически."
"tooltip_font_blending","Отрисовка шрифтов со сглаживанием."
"tooltip_save_font","Нажмите, чтобы записать эти настройки в options.json игры. Они также сохраняются автоматически, когда вы выбираете шрифт."
"tooltip_set_font_ui","Использовать выбранный шрифт для меню, диалогов и т.п."
"tooltip_set_font_map","Использовать выбранный шрифт для игрового мира (только когда не используются графические тайлы)."
"tooltip_set_font_omap","Использовать выбранный шрифт для карты мира (overmap)."
"tooltip_set_font_all","Использовать выбранный шрифт для всего в игре."
"tooltip_reset_font","Вернуть шрифты по умолчанию (Terminus => Unifont)."
,
"str_curr_font_config","Текущие шрифты + резервные варианты:"
"str_curr_font_config_ui","Интерфейс"
"str_curr_font_config_map","Игровой мир"
"str_curr_font_config_omap","Карта мира"
,
"msg_no_font_config_file","Сейчас нельзя управлять шрифтами, т.к. отсутствует файл конфигурации шрифтов игры. Запустите игру хотя бы раз, чтобы он создался."
"msg_setting_ui_font","[i]%s[/i] устанавливается в качестве шрифта для интерфейса игры."
"msg_setting_map_font","[i]%s[/i] устанавливается в качестве шрифта для игрового мира."
"msg_setting_omap_font","[i]%s[/i] устанавливается в качестве шрифта для карты мира."
