"keys","ru"
,
"lbl_channel","Ветка:"
"rbtn_stable","Стабильная"
"rbtn_experimental","Экспериментальная"
"lbl_changelog","[right][color=#3b93f7][url]Изменения в экспериментальной ветке[/url][/color][/right]"
"lbl_builds","Доступные сборки:"
"btn_refresh","Обновить"
"btn_install","Установить выбранную"
"btn_update","Обновиться до выбранной"
"btn_play","Играть"
"btn_resume","Продолжить последний мир"
"lbl_currently_installed","Сейчас установлено:"
"lbl_none","Ничего"
,
"tooltip_game","Выберите игру для запуска или настройки."
"tooltip_changelog","Загрузить с GitHub список последних изменений в игре."
"tooltip_stable","Ветка со стабильными релизами (только для DDA)."
"tooltip_experimental","Ветка с экспериментальными релизами."
"tooltip_builds","Выбор версии игры для установки или обновления."
"tooltip_refresh","Заново загрузить список доступных релизов игры\nc GitHub (только для экспериментальных релизов)."
"tooltip_install","Установить выбранную версию игры (DDA и BN\nхранятся раздельно и могут устанавливаться одновременно)."
"tooltip_game_dir","Открыть установочную папку игры (содержит\nисполняемые файлы и стандартный игровой контент)."
"tooltip_user_dir","Открыть папку с пользовательскими данными (содержит сохранения,\nконфигурацию игры, пользовательские моды, звук и т.д.)"
"tooltip_play","Запустить игру."
"tooltip_resume","Пропустить главное меню игры и быстро загрузить последний мир.\n(Если в нём несколько персонажей, будет загружен первый по алфавиту.)"
