"keys","ru"
,
"msg_mod_json_parsing_failed","Не удалось разобрать содержимое %s"
"msg_mod_deleted","Мод %s удалён."
"msg_mod_not_found","Не удалось найти мод с ID \""%s\"""
"msg_deleting_n_mods","Удаляем %s модов..."
"msg_obsolete_mod_collision","Уже есть мод с ID %s, помеченный как устаревший. [i]%s[/i] будет установлен с изменённым ID и именем, чтобы избежать конфликтов."
"msg_mod_installed","Мод %s установлен."
"msg_installing_n_mods","Устанавливаем %s модов..."
"msg_getting_kenan_pack","Загрузка модпака Кенана для %s..."
"msg_wiping_mod_repo","Очистка репозитория..."
"msg_unpacking_kenan_mods","Добавление модов из пака в репозиторий..."
"msg_unpacking_archived_mods","Добавление архивных модов в репозиторий..."
"msg_kenan_install_cleanup","Очистка временных файлов..."
"msg_kenan_install_done","Всё готово."
