"keys","ru"
,
"lbl_installed_mods","Установленные%s:"
"str_installed_mods_hidden"," (%s скрыто)"
"lbl_mod_repo","Локальный репозиторий%s:"
"str_mod_repo_hidden"," (%s скрыто)"
"cbtn_stock_mods","Показать встроенные"
"btn_delete_mods","Удалить выбранные"
"cbtn_installed_mods","Показать уже установленные"
"btn_add_sel_mods","Добавить выбранные"
"btn_add_all_mods","Добавить все"
"btn_get_kenan_pack","Загрузить модпак Кенана"
"lbl_mod_info","Выберите мод в одном из списков, чтобы увидеть здесь информацию по нему."
"str_mod_name","Название:"
"str_mod_authors","Авторы:"
"str_mod_maintainers","Сопровождение:"
"str_mod_category","Категория:"
"str_mod_description","Описание:"
,
"tooltip_mod_location","Расположение: %s"
"tooltip_stock_mods","Показать в этом списке моды из data/mods."
"tooltip_installed_mods","Показать в этом списке уже установленные моды (например, чтобы выбрать их для переустановки)."
"tooltip_delete_mods","Удалить выбранные моды из текущей установки игры."
"tooltip_add_sel_mods","Добавить выбранные моды к текущей установке игры."
"tooltip_add_all_mods","Добавить все показанные моды к текущей установке игры."
"tooltip_get_kenan_pack","Загрузить подборку модов от Кенана и добавить моды из неё в локальный репозиторий."
,
"msg_one_mod_is_stock","Один из выбранных модов является встроенным и не может быть удалён."
"msg_n_mods_are_stock","%s из выбранных модов являются встроенными и не могут быть удалены."
"dlg_deleting_n_mods_title","Подтвердите удаление"
"dlg_deleting_n_mods_text","Будут удалены %s модов."
"msg_mod_install_one_mod_skipped","Один мод уже идет вместе с игрой, так что он не будет установлен."
"msg_mod_install_n_mods_skipped","%s модов уже идут вместе с игрой, так что они не будут установлены."
