"keys","ru"
,
"msg_updating_game","Обновление до %s…"
"msg_installing_game","Установка %s…"
"msg_game_updated","Обновление завершено."
"msg_game_installed","Установка завершена."
"msg_migrating_game_data","Перенос игровых данных. Это может занять некоторое время."
"msg_migrating_saves","Копирование сохранений…"
"msg_migrating_config","Копирование настроек игры…"
"msg_migrating_mods","Копирование модов…"
"msg_migrating_fonts","Копирование пользовательских шрифтов…"
"msg_migrating_gfx","Копирование тайлсетов…"
"msg_migrating_sound","Копирование звуков…"
"msg_migrating_templates","Копирование шаблонов персонажей…"
"msg_migrating_memorial","Копирование мемориала…"
"msg_migrating_graveyard","Копирование кладбища…"
