"keys","ru"
,
"lbl_installed_sound","Установленные:"
"lbl_avail_sound","Доступные для загрузки:"
"cbtn_stock_sound","Показать встроенные"
"btn_delete_sound","Удалить выбранный"
"btn_install_sound","Установить выбранный"
"btn_reinstall_sound","Переустановить выбранный"
,
"tooltip_stock_sound","Показать в этом списке саундпаки из data/sound."
"tooltip_delete_sound","Удалить выбранный саундпак из текущей установки игры."
"tooltip_install_sound","Загрузить выбранный саундпак и добавить его в текущую установку игры."
,
"dlg_sound_deletion_title","Подтвердите удаление саундпака"
"dlg_sound_deletion_text","%s будет удалён."
"dlg_sound_manual_dl_title","Требуется ручное скачивание"
"dlg_sound_manual_dl_text","Этот саундпак нельзя загрузить автоматически. Нажмите OK, чтобы скачать его в браузере, затем вернитесь сюда и укажите, куда вы сохранили файл."
,
"str_no_sound_desc","У этого пака нет описания."
