"keys","ru"
,
"tip_soundpack_size","Саундпаки имеют большой размер, поэтому их перенос на новую версию игры может занимать много времени. Подумайте о том, чтобы оставить только сандпак, которым вы пользуетесь в данный момент, и удалить остальные."
"tip_mod_migration","Если у вас установлено слишком много модов, их перенос на новую версию может занимать много времени. Лучше устанавливать из репозитория только те моды, с которыми вы собираетесь играть."
"tip_os_hopping","Папку с Catapult можно перенести с Windows на Linux (или наоборот) и продолжить ею пользоваться, но вам придется скачать правильный исполяемый файл Catapult и обновить игру хотя бы раз."
"tip_migration_settings","На вкладке [i]Настройки[/i] можно выбрать, какие данные переносить в новую версию игры при обновлении."
"tip_dual_install","[i]C:DDA[/i] и [i]C:BN[/i] могут быть установлены одновременно. Их установки полностью независимы друг от друга, также, как и их обновления, моды, саундпаки и т.п."
"tip_downgrading","Вы можете откатиться на более старую версию игры, выбрав \""обновление\"" до более ранней сборки, но опасайтесь проблем с совместимостью сохранений."
"tip_stock_mods","Catapult не занимается управлением модами, которые идут вместе с игрой (кроме предотвращения установки этих модов во второй раз). Catapult взаимодействует только с модами в папке [i]/mods[/i], но не в [i]/data/mods[/i]."
"tip_mod_multi_install","Вы можете выбрать сразу несколько модов для установки/удаления, щелкая по элементам списков с зажатым [i]Ctrl[/i] или [i]Shift[/i]."
"tip_modpack_update","Модпак Кенана часто обновляется. Просто снова нажмите [i]Загрузить модпак Кенана[/i], чтобы скачать его заново и заменить моды в локальном репозитории."
"tip_debug_mode","Сообщения об ошибках ничего не проясняют? Попробуйте включить режим отладки в [i]Настройках[/i], чтобы видеть более подробный лог."
"tip_bug_reporting","Если вы испытываете проблему с лончером и не видите упоминаний о ней [color=#3b93f7][url=https://github.com/qrrk/Catapult/issues]на GitHub[/url][/color], то вполне возможно, что вы заметили её первым! Если вы зарегистрированы на GitHub, то пожалуйста создайте тикет на неё."
"tip_backup_caveat","Если вы держите сразу несколько игровых миров, имейте в виду, что бэкапы всегда работают со всей папкой сохранений целиком. Это означает, что при восстановлении бэкапа затирается всё предыдущее содержимое этой папки (включая миры, которых не было в бэкапе)."
