keys,en,ru,zh
,,,
tip_soundpack_size,Soundpacks are heavy and may take a while to carry over to a new game version. Consider keeping only the soundpack you currently use and uninstalling the rest.,"Саундпаки имеют большой размер, поэтому их перенос на новую версию игры может занимать много времени. Подумайте о том, чтобы оставить только сандпак, которым вы пользуетесь в данный момент, и удалить остальные.",音效包很大，可能需要一段时间才能转移到新的游戏版本。您可以只保留当前使用的音效包并卸载其余的音效包。
tip_mod_migration,Mods may take a while to carry over to a new game version if you have too many. Consider installing only the mods you are interested in from the repository.,"Если у вас установлено слишком много модов, их перенос на новую версию может занимать много времени. Лучше устанавливать из репозитория только те моды, с которыми вы собираетесь играть.",如果您有太多模组，可能需要一段时间才能转移到新的游戏版本。您可以只安装您感兴趣的模组。
tip_os_hopping,"You can bring the Catapult folder from Windows to Linux (or vice versa) and keep using it, but you will have to download the correct Catapult executable and update your game at least once.","Папку с Catapult можно перенести с Windows на Linux (или наоборот) и продолжить ею пользоваться, но вам придется скачать правильный исполяемый файл Catapult и обновить игру хотя бы раз.",您可以将Catapult文件夹从Windows带到Linux（或者相反）并继续使用，但您必须下载正确的Catapult可执行文件并至少更新一次游戏。
tip_migration_settings,You can choose what data to carry over when updating the game on the [i]Settings[/i] tab.,"На вкладке [i]Настройки[/i] можно выбрать, какие данные переносить в новую версию игры при обновлении.",您可以在[i]设置[/i]选项卡里选择哪些文件需要在更新时被迁移。
tip_dual_install,"Both [i]C:DDA[/i] and [i]C:BN[/i] can be installed at the same time. Their installations are completely independent, and their updates, mods and soundpacks are managed separately.","[i]C:DDA[/i] и [i]C:BN[/i] могут быть установлены одновременно. Их установки полностью независимы друг от друга, также, как и их обновления, моды, саундпаки и т.п.",[i]C:DDA[/i]和[i]C:BN[/i]可以同时安装。他们的安装是完全独立的，他们的更新、模组和音效包是分开管理的。
tip_downgrading,"You can downgrade your game version by choosing to \""update\"" to an earlier build, but beware of save compatibility issues.","Вы можете откатиться на более старую версию игры, выбрав \""обновление\"" до более ранней сборки, но опасайтесь проблем с совместимостью сохранений.",您可以通过选择“更新”到较早的版本来降级您的游戏版本，但要注意存档的兼容性问题。
tip_stock_mods,"Mods that come with the game are not managed by Catapult (except for preventing them from being installed a second time). Catapult only deals with the [i]/mods[/i] folder, not [i]/data/mods[/i].","Catapult не занимается управлением модами, которые идут вместе с игрой (кроме предотвращения установки этих модов во второй раз). Catapult взаимодействует только с модами в папке [i]/mods[/i], но не в [i]/data/mods[/i].",游戏自带的模组不受Catapult管理（为了防止它们被二次安装）。Catapult只处理[i]/mods[/i]文件夹，而不是[i]/data/mods[/i]。
tip_mod_multi_install,You can select multiple mods to install/delete by [i]Ctrl-clicking[/i] and [i]Shift-clicking[/i] in the lists.,"Вы можете выбрать сразу несколько модов для установки/удаления, щелкая по элементам списков с зажатым [i]Ctrl[/i] или [i]Shift[/i].",您可以通过[i]Ctrl+左键[/i]和[i]Shift+左键[/i]多选模组以删除或安装多个模组。
tip_modpack_update,Kenan's modpack is updated quite often. Just click [i]Get Kenan Modpack[/i] again to re-download it and replace the mods in your local repository.,"Модпак Кенана часто обновляется. Просто снова нажмите [i]Загрузить модпак Кенана[/i], чтобы скачать его заново и заменить моды в локальном репозитории.",Kenan's modpack更新频繁。再次点击[i]获取Kenan Modpack[/i]可以将其重新下载并替换本地存储的模组。
tip_debug_mode,Getting unhelpful error messages? Try enabling debug mode under [i]Settings[/i] for more verbose output.,"Сообщения об ошибках ничего не проясняют? Попробуйте включить режим отладки в [i]Настройках[/i], чтобы видеть более подробный лог.",总是报错却不知为何？尝试启用[i]设置[/i]选项卡下的调试模式以获取更详细的信息。
tip_bug_reporting,"If you're having an issue with the launcher and don't see it already reported [color=#3b93f7][url=https://github.com/qrrk/Catapult/issues]on GitHub[/url][/color], then you may well be the first person to notice it! Consider creating a ticket for it, if you have a GitHub account.","Если вы испытываете проблему с лончером и не видите упоминаний о ней [color=#3b93f7][url=https://github.com/qrrk/Catapult/issues]на GitHub[/url][/color], то вполне возможно, что вы заметили её первым! Если вы зарегистрированы на GitHub, то пожалуйста создайте тикет на неё.",如果你使用该启动器时遇到了问题却没见到别人[color=#3b93f7][url=https://github.com/qrrk/Catapult/issues]在GitHub上[/url][/color]报告相同问题，那么你可能是第一个发现它的！如果你有Github账号的话，尝试汇报它。
tip_backup_caveat,"If you keep multiple worlds in your game, beware that savegame backups always operate on the entire save directory. This means that when a backup is restored, all previous contents of the save directory are lost (including any worlds that weren't in this backup).","Если вы держите сразу несколько игровых миров, имейте в виду, что бэкапы всегда работают со всей папкой сохранений целиком. Это означает, что при восстановлении бэкапа затирается всё предыдущее содержимое этой папки (включая миры, которых не было в бэкапе).",如果您在游戏中保存有多个世界，请注意备份会覆盖目前存档目录里的所有内容。这意味着当恢复备份时，存档目录的所有先前内容都将丢失（包括任何不在此备份中的世界）。
