"keys","tr"
,
"msg_game_option_not_found_get","Oyunun \""%s\"" ayarı getirilmeye çalışıldı, ama bulunamadı."
"msg_game_option_not_found_set","Oyunun \""%s\"" ayarı ayarlamaya çalışıldı, ama bulunamadı."
"msg_failed_to_open_font_info","Font bilgisi açılamadı."
"msg_could_not_parse_font_info","Font bilgisi alınamadı."
"msg_font_info_error_details","Hata kodu: %s. Hata satırı: %s. Hata mesajı: %s"
"msg_could_not_parse_font_config","Font ayar dosyası alınamadı."
"msg_font_config_error_details","Hata kodu: %s. Hata satırı: %s. Hata mesajı: %s"
"msg_failed_to_open_font_config","Font ayar dosyası %s açılamadı (hata kodu: %s)"
"msg_font_config_not_found","Font ayar dosyası %s bulunamadı"
"msg_could_not_parse_game_options","Oyun ayar dosyası %s alınamadı."
"msg_game_options_error_details","Hata kodu: %s. Hata satırı: %s. Hata mesajı: %s"
"msg_could_not_open_game_options","Oyun ayar dosyası açılamadı (hata kodu: %s)."
"msg_game_options_not_found","Oyun ayar dosyası %s bulunamadı!"
"msg_font_config_not_writable","Font ayar dosyası %s yazmak için açılamadı."
"msg_game_options_saved","Oyun ayarları [i]options.json[/i] konumuna kaydedildi."
"msg_game_options_not_writable","Oyun ayar dosyası %s yazmak için açılamadı."
"msg_could_not_install_font","Font dosyası %s yüklenemedi (hata kodu: %s)."
"msg_font_install_details","Font kaynağı: %s. Hedef: %s."
"msg_invalid_font_index_passed","set_font fonksiyonuna geçersiz %s indexi verildi."
"msg_font_config_field_missing","Font ayarı \""%s\"" bölümünden yoksun."
