"keys","tr"
,
"lbl_avail_fonts","Kullanılabilir："
"lbl_font_preview","Önizleme:"
"cbtn_preview_cyrillics","Kiril karakterlerini önizle"
"lbl_other_settings","Diğer ayarlar："
"lbl_font_sz_ui","Arayüz font büyüklüğü:"
"lbl_font_sz_map","Harita font büyüklüğü:"
"lbl_font_sz_overmap","Öte harita font büyüklüğü:"
"cbtn_font_blending","Font yumuşatma"
"btn_save_font","Kaydet"
"btn_set_font_ui","Oyun arayüzü için ayarla"
"btn_set_font_map","Harita için ayarla"
"btn_set_font_omap","Öte harita için ayarla"
"btn_set_font_all","Hepsi için ayarla"
"btn_reset_font","Tüm fontları sıfırla"
,
"tooltip_preview_cyrillics","Rusça pangram göster"
"tooltip_font_sz_ui","Menüler/diyaloglar/vs. için font büyüklüğü.\nFont yüksekliği ve genişliği otomatik olarak ayarlanacaktır."
"tooltip_font_sz_map","Oyun dünyası (karo kullanılmadığında) için font büyüklüğü.\nFont yüksekliği ve genişliği otomatik olarak ayarlanacaktır."
"tooltip_font_sz_overmap","Dünya haritası, ya de diğer deyişle öte harita için font büyüklüğü.\nFont yüksekliği ve genişliği otomatik olarak ayarlanacaktır."
"tooltip_font_blending","Daha pürüzsüz font çizimi."
"tooltip_save_font","Ayarları options.json a kaydetmek için tıkla.\nAyrıca bunlar font ayarlarken otomatik olarak kaydedilir."
"tooltip_set_font_ui","Seçili fontu menüler/diyaloglar/vs. için kullan."
"tooltip_set_font_map","Seçili fontu oyun dünyası (karo kullanılmadığında) için kullan."
"tooltip_set_font_omap","Seçili fontu dünya haritası, ya de diğer deyişle öte harita için kullan."
"tooltip_set_font_all","Seçili fontu herşey için kullan."
"tooltip_reset_font","Varsayılan fontlara geri gön (Terminus => Unifont)."
,
"str_curr_font_config","Geçerli fontlar + yedekler:"
"str_curr_font_config_ui","Arayüz"
"str_curr_font_config_map","Harita "
"str_curr_font_config_omap","Öte harita"
,
"msg_no_font_config_file","Fontlar şu an yönetilemiyor: font ayar dosyası yok. Oluşturmak için oyunu en az bir kere başlattığından emin ol."
"msg_setting_ui_font","[i]%s[/i] arayüz fontu olarak ayarlanıyor."
"msg_setting_map_font","[i]%s[/i] harita fontu olarak ayarlanıyor."
"msg_setting_omap_font","[i]%s[/i] öte harita fontu olarak ayarlanıyor."
