"keys","tr"
,
"lbl_channel","Kanal:"
"rbtn_stable","Kararlı"
"rbtn_experimental","Deneysel"
"lbl_changelog","[right][color=#3b93f7][url]Deneysel değişiklik listesini gör[/url][/color][/right]"
"lbl_builds","Kullanılabilir sürümler:"
"btn_refresh","Yenile"
"btn_install","Seçileni yükle"
"btn_update","Seçilene yükselt"
"cb_update_active","Şu an aktif olan sürümü yükselt"
"lbl_active_install","Aktif sürüm"
"btn_play","Oyna"
"btn_resume","Son dünyaya devam et"
"lbl_installs","Yüklenmiş sürümler:"
"lbl_currently_installed","Yüklü olanlar:"
"lbl_none","Hiç"
"btn_activate","Aktif yap"
"btn_delete","Sil"
,
"tooltip_game","Oynamak ya da ayarlamak istediğin oyunu seç"
"tooltip_changelog","GitHub daki son değişikliklerin özeti için tıkla"
"tooltip_stable","Kararlı sürüm kanalı (sadece DDA)."
"tooltip_experimental","Deneysel sürüm kanalı"
"tooltip_builds","Yüklemek ya da güncellemek istediğin oyunu seç"
"tooltip_refresh","GitHub tan kullanılabilir oyun sürümlerini yeniden yükle (sadece deneysel sürümler için)."
"tooltip_install","Seçili oyun sürümünü yükle (DDA ve BN\nayrı olarak yönetilir ve birlikte bulunabilirler)."
"tooltip_update","Seçiliyse, aktif yükleme yukarıda seili\nnyüklemeyle değişecektir.\nDeğilse, seçili sürüm ayrı bir yükleme olacaktır."
"tooltip_game_dir","Oyun yükleme dizinini aç (yürütülebilir dosyayı ve\noyun içi içeriği içerir)"
"tooltip_user_dir","Kullanıcı kayıt dizinini aç (kayıt dosyaları, \noyun ayarları, kullanıcı modları, ses, vs. içerir)"
"tooltip_play","Oyunu çalıştır"
"tooltip_resume","Ana menüyü atla ve hızlıca son açılmış dünyayı yükle.\n(Eğer birden fazla karakter varsa ilki yüklenir.)"
"tooltip_activate","Seçili oyun yüklemesini (ör. Kullanılan) aktif yap.\n""Aktif"" yükleme Oyna/Devam et tuşuna tıklandığında çalışır, Yükle tuşuna bastığın zaman da güncellenir."
"tooltip_delete","Seçili oyun kopyasını sil.\n(Kayıtlar, ayarlar ve diğer kullanıcı verileri\nayrı olarak saklanır ve silinmezler.)"
"tooltip_installs_item","Konum:\n%s\n(klasörü açmak için çift tıkla)"
,
"msg_set_active","Aktif sürüm %s ‘a ayarlanıyor."
