"keys","tr"
,
"lbl_launcher_language","Yükleyici dili"
"lbl_launcher_theme","Yükleyici teması"
"cbtn_show_game_desc","Oyun açıklamasını göster"
"cbtn_keep_launcher_open","Oyun başladıktan sonra yükleyiciyi açık tut"
"cbtn_print_tips","Başlangıçta günün ipucunu göster"
"cbtn_updating_to_same_build","İndirilmiş sürümle aynı olan sürüme “yükseltmeyi” etkinleştir"
"cbtn_shorten_release_names","Deneysel sürümlerin ismini kısalt"
"cbtn_always_show_installs","Her zaman yüklenenleri listele"
"cbtn_show_obsolete_mods","Geçersiz modları yüklenmiş modlar içinde listele"
"cbtn_install_archived_mods","Kenan’ın Mod Paketi’ni indirirken arşivlenmiş modları da dahil et"
"cbtn_debug_mode","Hata ayıklama modu"
"lbl_num_releases_to_request","Aratılacak sürüm sayısı"
"lbl_num_prs_to_request","Değişiklik listesi için indiriecek sonuç sayısı"
"lbl_ui_scale_override","Özel arayüz ölçeği:"
"cbtn_enable_scale","Ölçeklendirmeyi etkinleştir"
"tooltip_show_game_desc","Oyun listesinin altında seçili oyunun açıklamasını göster."
"tooltip_keep_launcher_open","Kapatıldığında, yükleyici Oyna/Devam et tuşuna bastıktan sonra kapanır.\nEğer bir sebepten ötürü oyun açılmıyorsa yükleyici\nyine de kapanacaktır."
"tooltip_print_tips","Başlangıçta günün ipucunu göster"
"tooltip_updating_to_same_build","Seçili sürüm indirilen sürümle \naynı olsa dahi güncellemeyi başlat."
"tooltip_shorten_release_names","İsimleri sadece tarih ve numara olacak şekilde kısalt\n(ör. ""Cataclysm-DDA deneysel sürüm 2021-09-08-1927"" yerine\n""2021-09-08-1927"")."
"tooltip_always_show_installs","Tek bir oyun sürümü, hatta hiçbir\ntanesi olsa dahi yüklenen sürümleri göster."
"tooltip_show_obsolete_mods","Oyunla birlkte gelen, ama "geçersiz" olarak işaretlenen modları göster.\nNormalde, böyle modlar yüklenmiş olarak kabul edilmez.."
"tooltip_install_archived_mods","Kenan’ın Mod Paketi’ni yüklerken *arşivlenmiş* modları da dahil et.\nBu modlar artık Kenan tarafından bakılmıyor ve artık geçersiz olabilir."
"tooltip_debug_mode","Test foksiyonlarına sahip hata ayıklama penceresini\nve durum paneline hata ayıklama mesajlarını\netkinleştirir (hata tanılamak için kullanışlı)."
"tooltip_num_releases_to_request","Yükleyici açıldıktan sonra, oyunu seçerken\n ya da yenile tuşuna basarken\n GitHub tan kaç tane yeni sürüm istensin?"
"tooltip_num_prs_to_request","Değişiklik listesini belirlemek için\nkaç pull request (kod eklemeleri) istenecek.\nYüksek sayılar yavaş isteklere ve hatalara sebep olabilir"
"tooltip_ui_scale_override","Otomatik olarak çıkarılan arayüz ölçeği sisteminizde\nçok büyük\veya çok küçük görünüyorsa bunu kullanın.\n(Otomatik ölçek,tüm sistemlerde çalışmayabilen veya\nçözünürlük çok düşük olduğunda yetersiz sonuçlar veren\nsistem tarafından bildirilen ekran DPI'sına dayanır.)"
"tooltip_data_to_migrate","Oyun sürümünü güncellerken hangi oyun verilerinin taşınacağını seçin."
