"keys","zh"
,
"msg_list_dir_failed","列出目录%s失败。错误代码：%s。"
"msg_cannot_create_target_dir","无法创建目标目录%s。错误代码：%s。"
"msg_copy_file_failed","复制文件\""%s\""失败。错误代码：%s。"
"msg_copy_file_failed_details","[u]源路径：[/u] %s，[u]目标路径：[/u] %s。"
"msg_remove_file_failed","无法移除文件\""%s\""。错误代码：%s。"
"msg_remove_file_failed_details","[u]完整路径：[/u] %s。"
"msg_rm_dir_failed","移除目录%s失败。错误代码：%s。"
"msg_create_dir_failed","无法创建目标目录%s。错误代码：%s。"
"msg_move_file_failed","移动文件\""%s\""失败。错误代码：%s。"
"msg_move_file_failed_details","[u]源路径：[/u] %s，[u]目标路径：[/u] %s。"
"msg_move_rmdir_failed","无法移除源目录%s。错误代码：%s。"
"msg_extract_unsupported","不支持的平台或存储格式（文件：%s）"
"msg_extracting_file","解压%s..."
"msg_extract_error","解压命令报错中断（中断代码：%s)"
"msg_extract_failed_cmd","失败命令：%s"
"msg_extract_fail_output","输出：%s"
