"keys","zh"
,
"msg_game_option_not_found_get","尝试获取游戏选项\""%s\""，并未找到。"
"msg_game_option_not_found_set","尝试设置游戏选项\""%s\""，并未找到。"
"msg_failed_to_open_font_info","无法打开字体包信息。"
"msg_could_not_parse_font_info","无法解析字体包信息。"
"msg_font_info_error_details","错误代码： %s。错误行：%s。错误信息：%s"
"msg_could_not_parse_font_config","无法解析字体设置文件%s。"
"msg_font_config_error_details","错误代码： %s。错误行：%s。错误信息：%s"
"msg_failed_to_open_font_config","无法打开字体设置文件%s（错误代码：%s）。"
"msg_font_config_not_found","字体设置文件%s无法找到！"
"msg_could_not_parse_game_options","无法解析游戏设置文件%s。"
"msg_game_options_error_details","错误代码： %s。错误行：%s。错误信息：%s"
"msg_could_not_open_game_options","无法打开游戏设置文件%s（错误代码：%s）。"
"msg_game_options_not_found","游戏设置文件%s无法找到！"
"msg_font_config_not_writable","无法打开字体设置文件%s以写入。"
"msg_game_options_saved","已保存游戏设置至[i]options.json[/i]。"
"msg_game_options_not_writable","无法打开游戏设置文件%s以写入。"
"msg_could_not_install_font","无法安装字体文件%s（错误代码：%s）。"
"msg_font_install_details","字体源：%s。目标：%s。"
"msg_invalid_font_index_passed","set_font传递了无效的字体索引%s。"
"msg_font_config_field_missing","字体设置没有\""%s\""字段。"
