"keys","zh"
,
"lbl_avail_fonts","可用："
"lbl_font_preview","预览："
"cbtn_preview_cyrillics","预览西里尔字母"
"lbl_other_settings","其他设定："
"lbl_font_sz_ui","UI字体大小："
"lbl_font_sz_map","地图字体大小："
"lbl_font_sz_overmap","大地图字体大小："
"cbtn_font_blending","字体混合"
"btn_save_font","保存"
"btn_set_font_ui","设为UI字体"
"btn_set_font_map","设为地图字体"
"btn_set_font_omap","设为大地图字体"
"btn_set_font_all","设为全部"
"btn_reset_font","重置全部字体"
,
"tooltip_preview_cyrillics","展示一条俄文的全字母短句。"
"tooltip_font_sz_ui","菜单，对话等的字体大小。 字体宽高将自动设定。"
"tooltip_font_sz_map","游戏世界的字体大小（没有使用图形包时）。 字体宽高将自动设定。"
"tooltip_font_sz_overmap","大地图的字体大小。 字体宽高将自动设定。"
"tooltip_font_blending","平滑字体渲染。"
"tooltip_save_font","点击将设定保存至options.json。 在设置字体时会自动保存。"
"tooltip_set_font_ui","将所选字体应用至菜单，对话等。"
"tooltip_set_font_map","将所选字体应用至游戏世界 （没有使用图形包时）。"
"tooltip_set_font_omap","将所选字体应用至大地图。"
"tooltip_set_font_all","将所选字体应用至全部。"
"tooltip_reset_font","重置为默认字体（Terminus => Unifont）。"
,
"str_curr_font_config","目前字体和备用字体："
"str_curr_font_config_ui","UI"
"str_curr_font_config_map","地图"
"str_curr_font_config_omap","大地图"
,
"msg_no_font_config_file","暂时无法管理字体：字体设置文件不存在。请先启动一次游戏以生成它。"
"msg_setting_ui_font","[i]%s[/i]设为了游戏UI字体。"
"msg_setting_map_font","[i]%s[/i]设为了地图字体。"
"msg_setting_omap_font","[i]%s[/i]设为了大地图字体。"
