"keys","zh"
,
"lbl_installed_mods","已安装%s："
"str_installed_mods_hidden","（%s 隐藏）"
"lbl_mod_repo","本地存储%s："
"str_mod_repo_hidden","（%s 隐藏）"
"cbtn_stock_mods","展示基础模组"
"btn_delete_mods","删除该项"
"cbtn_installed_mods","展示已安装"
"btn_add_sel_mods","添加所选"
"btn_add_all_mods","全部添加"
"btn_get_kenan_pack","获取Kenan Modpack"
"lbl_mod_info","选择一个mod来查看详情。"
"str_mod_name","名称："
"str_mod_authors","作者："
"str_mod_maintainers","维护者："
"str_mod_category","分类："
"str_mod_description","描述："
,
"tooltip_mod_location","位置：%s"
"tooltip_stock_mods","显示该列表下data/mods里的模组。"
"tooltip_installed_mods","显示该列表已安装的模组 （您可以重新安装）。"
"tooltip_delete_mods","从游戏中删除该模组。"
"tooltip_add_sel_mods","将该模组添加至游戏。"
"tooltip_add_all_mods","将该列表下的所有模组添加至游戏。"
"tooltip_get_kenan_pack","下载Kenan Modpack并添加至本地存储。"
,
"msg_one_mod_is_stock","选中模组有一个是基础模组，无法被删除。"
"msg_n_mods_are_stock","选中模组有%s个是基础模组，无法被删除。"
"dlg_deleting_n_mods_title","确认删除"
"dlg_deleting_n_mods_text","正在删除%s个模组。"
"msg_mod_install_one_mod_skipped","一个模组是游戏内置模组，将不会被安装。"
"msg_mod_install_n_mods_skipped","%s个模组是游戏内置模组，将不会被安装。 "
