"keys","zh"
,
"lbl_launcher_language","启动器语言"
"lbl_launcher_theme","启动器主题"
"cbtn_show_game_desc","显示游戏描述"
"cbtn_keep_launcher_open","开始游戏后保持启动器打开"
"cbtn_print_tips","启动时显示小贴士"
"cbtn_updating_to_same_build","允许“更新”至当前安装版本"
"cbtn_shorten_release_names","缩短测试版发布的名称"
"cbtn_always_show_installs","总是显示安装列表"
"cbtn_show_obsolete_mods","列出已安装的过时模组"
"cbtn_install_archived_mods","安装Kenan Modpack时包含归档模组"
"cbtn_debug_mode","调试模式"
"lbl_num_releases_to_request","获取发布的数量"
"lbl_num_prs_to_request","下载更新日志的数量"
"lbl_ui_scale_override","自定义UI比例："
"cbtn_enable_scale","启用"
"cbtn_keep_cache","保留缓存"
"cbtn_ignore_cache","忽略缓存"
"lbl_proxy_settings","代理服务器"
"cbtn_enable_proxy","启用"
,
"tooltip_show_game_desc","为所选游戏展示描述"
"tooltip_keep_launcher_open","如果关闭，点击播放或继续后启动器将关闭。\n请注意，如果游戏因任何原因无法启动，启动器仍会关闭。"
"tooltip_print_tips","启动时展示一条随机小贴士"
"tooltip_updating_to_same_build","就算选中的发布与已安装版本一样 也照样允许进行更新流程。"
"tooltip_shorten_release_names","缩短发布名，只保留日期和编号，比如 （""2021-09-08-1927"" 而不是 ""Cataclysm-DDA experimental build 2021-09-08-1927""）。"
"tooltip_always_show_installs","即使只安装了一个游戏副本，或者根本没有安装，也显示安装列表。"
"tooltip_show_obsolete_mods","展示游戏内置但是被列为“过时”的模组 ， 通常来讲这样的模组不被视为已安装。"
"tooltip_install_archived_mods","当安装Kenan Modpack时，包括*归档模组*。 这些模组不再被Kenan维护，通常被认为过时。"
"tooltip_debug_mode","显示Debug选项卡，有一些调试功能， 展示debug消息（有助于排除故障）。"
"tooltip_num_releases_to_request","启动器会从Github拉取多少条发布。"
"tooltip_num_prs_to_request","启动器会从Github拉取多少条PR来组成更新日志， 过高的数字会导致获取变慢或失败。"
"tooltip_ui_scale_override","如果自动指定的UI比例在您的系统上看起来 太大或太小，请使用此选项。（自动缩放依赖于 系统报告的显示 DPI，这可能不适用于所有系统， 或者在分辨率太低时给出不充分的结果。） "
"tooltip_data_to_migrate","选择哪些游戏数据要在 更新游戏版本时迁移。"
"tooltip_keep_cache","当从网络上下载的内容（游戏版本、模组包、音乐等）安装完成时，\n不将下载的包删除， 而是留在缓存文件夹中。"
"tooltip_ignore_cache","即使缓存文件夹中已有所需的包，也仍然从网络上进行下载。"
"tooltip_proxy_settings","配置一个用于下载的代理服务器。"
